#           k/h    P           
    0.73812E-04    0.32498E+03
    0.10301E-03    0.44848E+03
    0.14377E-03    0.61883E+03
    0.20064E-03    0.85371E+03
    0.28002E-03    0.11772E+04
    0.39079E-03    0.16219E+04
    0.54540E-03    0.22314E+04
    0.76116E-03    0.30622E+04
    0.10623E-02    0.41855E+04
    0.14825E-02    0.56859E+04
    0.20691E-02    0.76524E+04
    0.28876E-02    0.10159E+05
    0.40300E-02    0.13224E+05
    0.41666E-02    0.13559E+05
    0.43078E-02    0.13899E+05
    0.44538E-02    0.14243E+05
    0.46048E-02    0.14591E+05
    0.47609E-02    0.14943E+05
    0.49222E-02    0.15298E+05
    0.50891E-02    0.15603E+05
    0.52616E-02    0.15962E+05
    0.54399E-02    0.16323E+05
    0.56243E-02    0.16687E+05
    0.58149E-02    0.17052E+05
    0.60120E-02    0.17418E+05
    0.62158E-02    0.17785E+05
    0.64265E-02    0.18152E+05
    0.66443E-02    0.18519E+05
    0.68695E-02    0.18885E+05
    0.71024E-02    0.19250E+05
    0.73431E-02    0.19612E+05
    0.75920E-02    0.19972E+05
    0.78493E-02    0.20327E+05
    0.81154E-02    0.20679E+05
    0.83905E-02    0.21025E+05
    0.86748E-02    0.21365E+05
    0.89689E-02    0.21698E+05
    0.92729E-02    0.22024E+05
    0.95872E-02    0.22340E+05
    0.99121E-02    0.22647E+05
    0.10248E-01    0.22942E+05
    0.10595E-01    0.23226E+05
    0.10955E-01    0.23496E+05
    0.11326E-01    0.23752E+05
    0.11710E-01    0.23993E+05
    0.12107E-01    0.24217E+05
    0.12517E-01    0.24423E+05
    0.12941E-01    0.24609E+05
    0.13380E-01    0.24775E+05
    0.13834E-01    0.24919E+05
    0.14302E-01    0.25040E+05
    0.14787E-01    0.25137E+05
    0.15288E-01    0.25208E+05
    0.15807E-01    0.25252E+05
    0.16342E-01    0.25268E+05
    0.16896E-01    0.25254E+05
    0.17469E-01    0.25211E+05
    0.18061E-01    0.25136E+05
    0.18673E-01    0.25030E+05
    0.19306E-01    0.24890E+05
    0.19961E-01    0.24718E+05
    0.20637E-01    0.24511E+05
    0.21337E-01    0.24272E+05
    0.22060E-01    0.23998E+05
    0.22808E-01    0.23691E+05
    0.23581E-01    0.23352E+05
    0.24380E-01    0.22981E+05
    0.25206E-01    0.22580E+05
    0.26061E-01    0.22149E+05
    0.26944E-01    0.21692E+05
    0.27857E-01    0.21210E+05
    0.28802E-01    0.20706E+05
    0.29778E-01    0.20183E+05
    0.30787E-01    0.19645E+05
    0.31831E-01    0.19095E+05
    0.32909E-01    0.18536E+05
    0.34025E-01    0.17974E+05
    0.35178E-01    0.17412E+05
    0.36371E-01    0.16855E+05
    0.37603E-01    0.16303E+05
    0.38878E-01    0.15760E+05
    0.40196E-01    0.15235E+05
    0.41558E-01    0.14731E+05
    0.42967E-01    0.14252E+05
    0.44423E-01    0.13802E+05
    0.45929E-01    0.13381E+05
    0.47486E-01    0.12991E+05
    0.49095E-01    0.12630E+05
    0.50759E-01    0.12297E+05
    0.52480E-01    0.11988E+05
    0.54259E-01    0.11700E+05
    0.56098E-01    0.11431E+05
    0.57999E-01    0.11180E+05
    0.60733E-01    0.10867E+05
    0.63467E-01    0.10554E+05
    0.66200E-01    0.10239E+05
    0.68934E-01    0.99083E+04
    0.71668E-01    0.95556E+04
    0.74402E-01    0.91783E+04
    0.77135E-01    0.87795E+04
    0.79869E-01    0.83660E+04
    0.82603E-01    0.79472E+04
    0.85337E-01    0.75325E+04
    0.88071E-01    0.71311E+04
    0.90804E-01    0.67513E+04
    0.93538E-01    0.63998E+04
    0.96272E-01    0.60819E+04
    0.99006E-01    0.58010E+04
    0.10174E+00    0.55582E+04
    0.10447E+00    0.53525E+04
    0.10721E+00    0.51810E+04
    0.10994E+00    0.50391E+04
    0.11267E+00    0.49217E+04
    0.11541E+00    0.48232E+04
    0.11814E+00    0.47379E+04
    0.12088E+00    0.46603E+04
    0.12361E+00    0.45849E+04
    0.12634E+00    0.45069E+04
    0.12908E+00    0.44220E+04
    0.13181E+00    0.43276E+04
    0.13454E+00    0.42225E+04
    0.13728E+00    0.41074E+04
    0.14001E+00    0.39845E+04
    0.14275E+00    0.38565E+04
    0.14548E+00    0.37265E+04
    0.14821E+00    0.35976E+04
    0.15095E+00    0.34722E+04
    0.15368E+00    0.33527E+04
    0.15641E+00    0.32410E+04
    0.15915E+00    0.31388E+04
    0.16188E+00    0.30473E+04
