#    L    TT             EE             TE             PP             TP          
     2    0.32879E+03    0.75619E-10   -0.11904E-04    0.94670E+06    0.32912E+05
     3    0.23049E+03    0.23265E-10    0.76100E-05    0.14502E+07    0.36778E+05
     4    0.17327E+03    0.62442E-11    0.61656E-05    0.18913E+07    0.38068E+05
     5    0.13624E+03    0.20954E-11    0.31142E-05    0.22758E+07    0.38133E+05
     6    0.11051E+03    0.86368E-12    0.28967E-05    0.26107E+07    0.37560E+05
     7    0.91704E+02    0.57600E-12    0.39809E-05    0.29029E+07    0.36649E+05
     8    0.77450E+02    0.59893E-12    0.42645E-05    0.31585E+07    0.35564E+05
     9    0.66343E+02    0.48794E-12    0.33129E-05    0.33828E+07    0.34398E+05
    10    0.57481E+02    0.25095E-12    0.19678E-05    0.35797E+07    0.33202E+05
    11    0.50290E+02    0.94031E-13    0.10676E-05    0.37535E+07    0.32013E+05
    12    0.44502E+02    0.10382E-03   -0.23714E-03    0.39061E+07    0.30843E+05
    13    0.39386E+02    0.10591E-12    0.96284E-06    0.40399E+07    0.29700E+05
    14    0.35148E+02   -0.27194E-04    0.79648E-04    0.41576E+07    0.28598E+05
    15    0.31607E+02    0.12171E-12    0.11474E-05    0.42609E+07    0.27538E+05
    16    0.28493E+02   -0.22586E-04    0.32410E-03    0.43512E+07    0.26520E+05
    17    0.25850E+02    0.62177E-13    0.69578E-06    0.44299E+07    0.25545E+05
    18    0.23081E+02    0.11488E-04   -0.52563E-03    0.44983E+07    0.24614E+05
    19    0.21466E+02    0.28328E-13    0.29129E-06    0.45572E+07    0.23723E+05
    20    0.19693E+02    0.10034E-04   -0.10653E-04    0.46072E+07    0.22870E+05
    21    0.18046E+02    0.24056E-13    0.32261E-06    0.46493E+07    0.22054E+05
    22    0.16658E+02   -0.67106E-05   -0.42678E-04    0.46845E+07    0.21276E+05
    23    0.15331E+02    0.65445E-13    0.55161E-06    0.47134E+07    0.20532E+05
    24    0.14156E+02   -0.45945E-05    0.19328E-03    0.47363E+07    0.19821E+05
    25    0.13141E+02    0.10459E-12    0.65382E-06    0.47538E+07    0.19141E+05
    26    0.12148E+02    0.45677E-05    0.17382E-03    0.47666E+07    0.18491E+05
    27    0.11352E+02    0.87026E-13    0.54346E-06    0.47750E+07    0.17869E+05
    28    0.10551E+02    0.62322E-06   -0.24430E-03    0.47793E+07    0.17275E+05
    29    0.98728E+01    0.46296E-13    0.32786E-06    0.47798E+07    0.16705E+05
    30    0.92980E+01   -0.21393E-05    0.16708E-04    0.47766E+07    0.16158E+05
    31    0.86365E+01    0.25763E-13    0.14006E-06    0.47701E+07    0.15634E+05
    32    0.80624E+01    0.18985E-05    0.16031E-03    0.47609E+07    0.15132E+05
    33    0.75958E+01    0.20891E-13    0.50472E-07    0.47491E+07    0.14650E+05
    34    0.71191E+01    0.58091E-06   -0.27666E-03    0.47348E+07    0.14188E+05
    35    0.67129E+01    0.16929E-13    0.59022E-07    0.47184E+07    0.13745E+05
    36    0.63768E+01   -0.13653E-06    0.46383E-03    0.47000E+07    0.13320E+05
    37    0.59588E+01    0.15453E-13    0.12251E-06    0.46798E+07    0.12911E+05
    38    0.55978E+01    0.41830E-05   -0.55392E-03    0.46579E+07    0.12519E+05
    39    0.53351E+01    0.55145E-05   -0.64611E-03    0.46345E+07    0.12142E+05
    40    0.50204E+01    0.26639E-13    0.21710E-06    0.46096E+07    0.11779E+05
    41    0.48575E+01   -0.10177E-04    0.12921E-02    0.45834E+07    0.11430E+05
    42    0.46086E+01   -0.18179E-04    0.24752E-02    0.45561E+07    0.11094E+05
    43    0.43897E+01   -0.16190E-04    0.26483E-02    0.45276E+07    0.10771E+05
    44    0.40200E+01   -0.11250E-04    0.18018E-02    0.44981E+07    0.10459E+05
    45    0.38382E+01    0.32101E-13    0.21458E-06    0.44678E+07    0.10160E+05
    46    0.37456E+01    0.21386E-04   -0.44408E-02    0.44368E+07    0.98706E+04
    47    0.36001E+01    0.45231E-04   -0.10322E-01    0.44050E+07    0.95921E+04
    48    0.33416E+01    0.68040E-04   -0.13066E-01    0.43726E+07    0.93236E+04
    49    0.30588E+01    0.64032E-04   -0.86922E-02    0.43397E+07    0.90648E+04
    50    0.29888E+01    0.98681E-14    0.96603E-07    0.43064E+07    0.88152E+04
    51    0.29181E+01   -0.15865E-03    0.87114E-02    0.42727E+07    0.85745E+04
    52    0.30589E+01   -0.32573E-03    0.12776E-01    0.42386E+07    0.83421E+04
    53    0.30239E+01   -0.34961E-03    0.92855E-02    0.42042E+07    0.81178E+04
    54    0.27234E+01   -0.23463E-03    0.33016E-02    0.41696E+07    0.79013E+04
    55    0.23644E+01    0.40785E-14    0.25014E-07    0.41348E+07    0.76923E+04
    56    0.21589E+01    0.21343E-03   -0.17291E-02    0.40998E+07    0.74903E+04
    57    0.20408E+01    0.29820E-03   -0.18358E-02    0.40648E+07    0.72951E+04
    58    0.20233E+01    0.26287E-03   -0.12124E-02    0.40296E+07    0.71064E+04
    59    0.19707E+01    0.14575E-03   -0.77348E-03    0.39943E+07    0.69240E+04
    60    0.18962E+01    0.26253E-14    0.22985E-07    0.39590E+07    0.67475E+04
    61    0.21060E+01   -0.80085E-04    0.18113E-02    0.39237E+07    0.65768E+04
    62    0.19996E+01   -0.10301E-03    0.37228E-02    0.38884E+07    0.64115E+04
    63    0.17897E+01   -0.10297E-03    0.47585E-02    0.38532E+07    0.62517E+04
    64    0.17634E+01   -0.62183E-04    0.37191E-02    0.38180E+07    0.60969E+04
