#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.32879E+03   -0.11904E-04    0.14414E-02   -0.20672E-03    0.93041E-02   -0.11904E-04    0.75619E-10   -0.40067E-10   -0.10111E-08    0.43496E-09    0.14414E-02   -0.40067E-10    0.76063E-08   -0.10369E-08    0.47081E-07   -0.20672E-03   -0.10111E-08   -0.10369E-08    0.24470E-05    0.27067E-05    0.93041E-02    0.43496E-09    0.47081E-07    0.27067E-05    0.37619E-05
     3    0.23049E+03    0.76100E-05    0.95452E-03    0.67103E-03    0.11569E-01    0.76100E-05    0.23265E-10    0.28078E-10   -0.60179E-10    0.59394E-09    0.95452E-03    0.28078E-10    0.46032E-08    0.30449E-08    0.54813E-07    0.67103E-03   -0.60179E-10    0.30449E-08    0.47437E-05    0.54342E-05    0.11569E-01    0.59394E-09    0.54813E-07    0.54342E-05    0.75043E-05
     4    0.17327E+03    0.61656E-05    0.69468E-03    0.15383E-02    0.13623E-01    0.61656E-05    0.62442E-11    0.22662E-10    0.46119E-09    0.78021E-09    0.69468E-03    0.22662E-10    0.31657E-08    0.66809E-08    0.61856E-07    0.15383E-02    0.46119E-09    0.66809E-08    0.77095E-05    0.90480E-05    0.13623E-01    0.78021E-09    0.61856E-07    0.90480E-05    0.12486E-04
     5    0.13624E+03    0.31142E-05    0.53442E-03    0.23842E-02    0.15499E-01    0.31142E-05    0.20954E-11    0.11621E-10    0.42092E-09    0.55496E-09    0.53442E-03    0.11621E-10    0.23405E-08    0.10071E-07    0.68246E-07    0.23842E-02    0.42092E-09    0.10071E-07    0.11322E-04    0.13538E-04    0.15499E-01    0.55496E-09    0.68246E-07    0.13538E-04    0.18706E-04
     6    0.11051E+03    0.28967E-05    0.42648E-03    0.31895E-02    0.17197E-01    0.28967E-05    0.86368E-12    0.10244E-10    0.50666E-10    0.34219E-09    0.42648E-03    0.10244E-10    0.18127E-08    0.13229E-07    0.73953E-07    0.31895E-02    0.50666E-10    0.13229E-07    0.15565E-04    0.18889E-04    0.17197E-01    0.34219E-09    0.73953E-07    0.18889E-04    0.26154E-04
     7    0.91704E+02    0.39809E-05    0.34941E-03    0.39420E-02    0.18727E-01    0.39809E-05    0.57600E-12    0.13825E-10    0.37783E-09    0.11503E-08    0.34941E-03    0.13825E-10    0.14506E-08    0.16149E-07    0.79036E-07    0.39420E-02    0.37783E-09    0.16149E-07    0.20421E-04    0.25091E-04    0.18727E-01    0.11503E-08    0.79036E-07    0.25091E-04    0.34827E-04
     8    0.77450E+02    0.42645E-05    0.29204E-03    0.46432E-02    0.20110E-01    0.42645E-05    0.59893E-12    0.15107E-10    0.12239E-08    0.22397E-08    0.29204E-03    0.15107E-10    0.11895E-08    0.18850E-07    0.83580E-07    0.46432E-02    0.12239E-08    0.18850E-07    0.25873E-04    0.32130E-04    0.20110E-01    0.22397E-08    0.83580E-07    0.32130E-04    0.44718E-04
     9    0.66343E+02    0.33129E-05    0.24799E-03    0.52998E-02    0.21366E-01    0.33129E-05    0.48794E-12    0.12033E-10    0.15052E-08    0.23043E-08    0.24799E-03    0.12033E-10    0.99421E-09    0.21368E-07    0.87674E-07    0.52998E-02    0.15052E-08    0.21368E-07    0.31918E-04    0.40008E-04    0.21366E-01    0.23043E-08    0.87674E-07    0.40008E-04    0.55836E-04
    10    0.57481E+02    0.19678E-05    0.21327E-03    0.59130E-02    0.22503E-01    0.19678E-05    0.25095E-12    0.72515E-11    0.93310E-09    0.13492E-08    0.21327E-03    0.72515E-11    0.84366E-09    0.23712E-07    0.91352E-07    0.59130E-02    0.93310E-09    0.23712E-07    0.38544E-04    0.48716E-04    0.22503E-01    0.13492E-08    0.91352E-07    0.48716E-04    0.68176E-04
    11    0.50290E+02    0.10676E-05    0.18540E-03    0.64898E-02    0.23541E-01    0.10676E-05    0.94031E-13    0.38350E-11    0.15978E-09    0.37618E-09    0.18540E-03    0.38350E-11    0.72505E-09    0.25909E-07    0.94690E-07    0.64898E-02    0.15978E-09    0.25909E-07    0.45752E-04    0.58259E-04    0.23541E-01    0.37618E-09    0.94690E-07    0.58259E-04    0.81751E-04
    12    0.44502E+02   -0.23714E-03    0.16257E-03    0.70308E-02    0.24482E-01   -0.23714E-03    0.10382E-03    0.27952E-11   -0.11737E-09    0.19103E-09    0.16257E-03    0.27952E-11    0.62950E-09    0.27966E-07    0.97697E-07    0.70308E-02   -0.11737E-09    0.27966E-07    0.53536E-04    0.68635E-04    0.24482E-01    0.19103E-09    0.97697E-07    0.68635E-04    0.96559E-04
    13    0.39386E+02    0.96284E-06    0.14367E-03    0.75386E-02    0.25336E-01    0.96284E-06    0.10591E-12    0.31725E-11    0.10358E-09    0.65439E-09    0.14367E-03    0.31725E-11    0.55157E-09    0.29893E-07    0.10041E-06    0.75386E-02    0.10358E-09    0.29893E-07    0.61894E-04    0.79844E-04    0.25336E-01    0.65439E-09    0.10041E-06    0.79844E-04    0.11261E-03
    14    0.35148E+02    0.79648E-04    0.12780E-03    0.80169E-02    0.26114E-01    0.79648E-04   -0.27194E-04    0.37638E-11    0.61198E-09    0.13803E-08    0.12780E-03    0.37638E-11    0.48693E-09    0.31705E-07    0.10287E-06    0.80169E-02    0.61198E-09    0.31705E-07    0.70827E-04    0.91889E-04    0.26114E-01    0.13803E-08    0.10287E-06    0.91889E-04    0.12990E-03
    15    0.31607E+02    0.11474E-05    0.11435E-03    0.84678E-02    0.26822E-01    0.11474E-05    0.12171E-12    0.39450E-11    0.10522E-08    0.19042E-08    0.11435E-03    0.39450E-11    0.43279E-09    0.33412E-07    0.10511E-06    0.84678E-02    0.10522E-08    0.33412E-07    0.80335E-04    0.10477E-03    0.26822E-01    0.19042E-08    0.10511E-06    0.10477E-03    0.14844E-03
    16    0.28493E+02    0.32410E-03    0.10283E-03    0.88930E-02    0.27465E-01    0.32410E-03   -0.22586E-04    0.34013E-11    0.11257E-08    0.18701E-08    0.10283E-03    0.34013E-11    0.38691E-09    0.35020E-07    0.10714E-06    0.88930E-02    0.11257E-08    0.35020E-07    0.90416E-04    0.11850E-03    0.27465E-01    0.18701E-08    0.10714E-06    0.11850E-03    0.16824E-03
    17    0.25850E+02    0.69578E-06    0.92909E-04    0.92946E-02    0.28051E-01    0.69578E-06    0.62177E-13    0.24735E-11    0.90823E-09    0.14354E-08    0.92909E-04    0.24735E-11    0.34773E-09    0.36539E-07    0.10899E-06    0.92946E-02    0.90823E-09    0.36539E-07    0.10107E-03    0.13307E-03    0.28051E-01    0.14354E-08    0.10899E-06    0.13307E-03    0.18930E-03
