#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.10248E+04    0.27347E-01    0.12272E-02    0.49028E-03    0.42568E-03    0.27347E-01    0.12119E-05   -0.17405E-07   -0.31478E-07   -0.28664E-07    0.12272E-02   -0.17405E-07    0.84913E-08    0.52072E-08    0.46098E-08    0.49028E-03   -0.31478E-07    0.52072E-08    0.45065E-06    0.25296E-06    0.42568E-03   -0.28664E-07    0.46098E-08    0.25296E-06    0.24777E-06
     3    0.98874E+03    0.61974E-01    0.86266E-03    0.77587E-03    0.67079E-03    0.61974E-01    0.57211E-05   -0.20855E-07   -0.42372E-07   -0.36923E-07    0.86266E-03   -0.20855E-07    0.51703E-08    0.55498E-08    0.47305E-08    0.77587E-03   -0.42372E-07    0.55498E-08    0.90210E-06    0.50486E-06    0.67079E-03   -0.36923E-07    0.47305E-08    0.50486E-06    0.49355E-06
     4    0.95380E+03    0.10568E+00    0.65040E-03    0.99854E-03    0.85330E-03    0.10568E+00    0.16465E-04   -0.22697E-07   -0.43223E-07   -0.36225E-07    0.65040E-03   -0.22697E-07    0.35763E-08    0.61459E-08    0.51171E-08    0.99854E-03   -0.43223E-07    0.61459E-08    0.15144E-05    0.84802E-06    0.85330E-03   -0.36225E-07    0.51171E-08    0.84802E-06    0.82678E-06
     5    0.92908E+03    0.15767E+00    0.51273E-03    0.11629E-02    0.98390E-03    0.15767E+00    0.37122E-04   -0.23842E-07   -0.39640E-07   -0.32053E-07    0.51273E-03   -0.23842E-07    0.26587E-08    0.68436E-08    0.56149E-08    0.11629E-02   -0.39640E-07    0.68436E-08    0.22941E-05    0.12870E-05    0.98390E-03   -0.32053E-07    0.56149E-08    0.12870E-05    0.12510E-05
     6    0.91344E+03    0.21720E+00    0.41759E-03    0.13112E-02    0.11019E-02    0.21720E+00    0.72039E-04   -0.24439E-07   -0.30095E-07   -0.23474E-07    0.41759E-03   -0.24439E-07    0.20704E-08    0.76029E-08    0.61772E-08    0.13112E-02   -0.30095E-07    0.76029E-08    0.32496E-05    0.18280E-05    0.11019E-02   -0.23474E-07    0.61772E-08    0.18280E-05    0.17715E-05
     7    0.90470E+03    0.28354E+00    0.34858E-03    0.14776E-02    0.12316E-02    0.28354E+00    0.12621E-03   -0.24733E-07   -0.14096E-07   -0.10986E-07    0.34858E-03   -0.24733E-07    0.16660E-08    0.83962E-08    0.67752E-08    0.14776E-02   -0.14096E-07    0.83962E-08    0.43917E-05    0.24790E-05    0.12316E-02   -0.10986E-07    0.67752E-08    0.24790E-05    0.23942E-05
     8    0.90073E+03    0.35592E+00    0.29600E-03    0.16207E-02    0.13443E-02    0.35592E+00    0.20515E-03   -0.25074E-07   -0.81542E-08   -0.61556E-08    0.29600E-03   -0.25074E-07    0.13738E-08    0.92034E-08    0.73869E-08    0.16207E-02   -0.81542E-08    0.92034E-08    0.57290E-05    0.32460E-05    0.13443E-02   -0.61556E-08    0.73869E-08    0.32460E-05    0.31240E-05
     9    0.90065E+03    0.43372E+00    0.25446E-03    0.17312E-02    0.14345E-02    0.43372E+00    0.31488E-03   -0.25556E-07   -0.13271E-07   -0.91739E-08    0.25446E-03   -0.25556E-07    0.11547E-08    0.10006E-07    0.79994E-08    0.17312E-02   -0.13271E-07    0.10006E-07    0.72702E-05    0.41350E-05    0.14345E-02   -0.91739E-08    0.79994E-08    0.41350E-05    0.39658E-05
    10    0.90331E+03    0.51598E+00    0.22105E-03    0.18432E-02    0.15248E-02    0.51598E+00    0.46176E-03   -0.25981E-07   -0.13994E-07   -0.93078E-08    0.22105E-03   -0.25981E-07    0.98530E-09    0.10794E-07    0.86022E-08    0.18432E-02   -0.13994E-07    0.10794E-07    0.90234E-05    0.51520E-05    0.15248E-02   -0.93078E-08    0.86022E-08    0.51520E-05    0.49245E-05
    11    0.90790E+03    0.60210E+00    0.19414E-03    0.19652E-02    0.16218E-02    0.60210E+00    0.65310E-03   -0.26090E-07   -0.74714E-08   -0.44487E-08    0.19414E-03   -0.26090E-07    0.85151E-09    0.11566E-07    0.91955E-08    0.19652E-02   -0.74714E-08    0.11566E-07    0.10998E-04    0.63039E-05    0.16218E-02   -0.44487E-08    0.91955E-08    0.63039E-05    0.60056E-05
