#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.10248E+04    0.27347E-01    0.12272E-02    0.00000E+00   -0.41102E-02    0.27347E-01    0.12119E-05   -0.17405E-07    0.00000E+00    0.14595E-07    0.12272E-02   -0.17405E-07    0.84913E-08    0.00000E+00   -0.24844E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.41102E-02    0.14595E-07   -0.24844E-07    0.00000E+00    0.78494E-07
     3    0.98874E+03    0.61974E-01    0.86266E-03    0.00000E+00   -0.55532E-02    0.61974E-01    0.57211E-05   -0.20855E-07    0.00000E+00    0.17358E-07    0.86266E-03   -0.20855E-07    0.51703E-08    0.00000E+00   -0.29229E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.55532E-02    0.17358E-07   -0.29229E-07    0.00000E+00    0.18239E-06
     4    0.95380E+03    0.10568E+00    0.65040E-03    0.00000E+00   -0.67229E-02    0.10568E+00    0.16465E-04   -0.22697E-07    0.00000E+00    0.16029E-07    0.65040E-03   -0.22697E-07    0.35763E-08    0.00000E+00   -0.32766E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.67229E-02    0.16029E-07   -0.32766E-07    0.00000E+00    0.33704E-06
     5    0.92908E+03    0.15767E+00    0.51273E-03    0.00000E+00   -0.76927E-02    0.15767E+00    0.37122E-04   -0.23842E-07    0.00000E+00    0.13232E-07    0.51273E-03   -0.23842E-07    0.26587E-08    0.00000E+00   -0.35674E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.76927E-02    0.13232E-07   -0.35674E-07    0.00000E+00    0.54493E-06
     6    0.91344E+03    0.21720E+00    0.41759E-03    0.00000E+00   -0.85162E-02    0.21720E+00    0.72039E-04   -0.24439E-07    0.00000E+00    0.88011E-08    0.41759E-03   -0.24439E-07    0.20704E-08    0.00000E+00   -0.38070E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.85162E-02    0.88011E-08   -0.38070E-07    0.00000E+00    0.80653E-06
     7    0.90470E+03    0.28354E+00    0.34858E-03    0.00000E+00   -0.92203E-02    0.28354E+00    0.12621E-03   -0.24733E-07    0.00000E+00    0.45905E-08    0.34858E-03   -0.24733E-07    0.16660E-08    0.00000E+00   -0.40057E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.92203E-02    0.45905E-08   -0.40057E-07    0.00000E+00    0.11215E-05
     8    0.90073E+03    0.35592E+00    0.29600E-03    0.00000E+00   -0.98208E-02    0.35592E+00    0.20515E-03   -0.25074E-07    0.00000E+00    0.25553E-08    0.29600E-03   -0.25074E-07    0.13738E-08    0.00000E+00   -0.41707E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.98208E-02    0.25553E-08   -0.41707E-07    0.00000E+00    0.14887E-05
     9    0.90065E+03    0.43372E+00    0.25446E-03    0.00000E+00   -0.10335E-01    0.43372E+00    0.31488E-03   -0.25556E-07    0.00000E+00    0.21890E-08    0.25446E-03   -0.25556E-07    0.11547E-08    0.00000E+00   -0.43079E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.10335E-01    0.21890E-08   -0.43079E-07    0.00000E+00    0.19068E-05
    10    0.90331E+03    0.51598E+00    0.22105E-03    0.00000E+00   -0.10777E-01    0.51598E+00    0.46176E-03   -0.25981E-07    0.00000E+00    0.19868E-08    0.22105E-03   -0.25981E-07    0.98530E-09    0.00000E+00   -0.44213E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.10777E-01    0.19868E-08   -0.44213E-07    0.00000E+00    0.23740E-05
    11    0.90790E+03    0.60210E+00    0.19414E-03    0.00000E+00   -0.11160E-01    0.60210E+00    0.65310E-03   -0.26090E-07    0.00000E+00    0.14686E-08    0.19414E-03   -0.26090E-07    0.85151E-09    0.00000E+00   -0.45154E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.11160E-01    0.14686E-08   -0.45154E-07    0.00000E+00    0.28888E-05
    12    0.91562E+03    0.69219E+00    0.17219E-03    0.00000E+00   -0.11486E-01    0.69219E+00    0.10004E-02   -0.25856E-07    0.00000E+00    0.78454E-09    0.17219E-03   -0.25856E-07    0.74341E-09    0.00000E+00   -0.45919E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.11486E-01    0.78454E-09   -0.45919E-07    0.00000E+00    0.34480E-05
    13    0.92470E+03    0.78470E+00    0.15400E-03    0.00000E+00   -0.11764E-01    0.78470E+00    0.11980E-02   -0.25516E-07    0.00000E+00    0.90207E-10    0.15400E-03   -0.25516E-07    0.65497E-09    0.00000E+00   -0.46531E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.11764E-01    0.90207E-10   -0.46531E-07    0.00000E+00    0.40497E-05
