#    L    TT             EE             TE             PP             TP          
     2    0.10248E+04    0.12119E-05    0.27347E-01    0.10569E+07    0.28022E+05
     3    0.98874E+03    0.57211E-05    0.61974E-01    0.16289E+07    0.33239E+05
     4    0.95380E+03    0.16465E-04    0.10568E+00    0.21366E+07    0.35642E+05
     5    0.92908E+03    0.37122E-04    0.15767E+00    0.25853E+07    0.36585E+05
     6    0.91344E+03    0.72039E-04    0.21720E+00    0.29818E+07    0.36777E+05
     7    0.90470E+03    0.12621E-03    0.28354E+00    0.33340E+07    0.36562E+05
     8    0.90073E+03    0.20515E-03    0.35592E+00    0.36478E+07    0.36046E+05
     9    0.90065E+03    0.31488E-03    0.43372E+00    0.39288E+07    0.35296E+05
    10    0.90331E+03    0.46176E-03    0.51598E+00    0.41807E+07    0.34413E+05
    11    0.90790E+03    0.65310E-03    0.60210E+00    0.44082E+07    0.33523E+05
    12    0.91562E+03    0.10004E-02    0.69219E+00    0.46129E+07    0.32668E+05
    13    0.92470E+03    0.11980E-02    0.78470E+00    0.47973E+07    0.31836E+05
    14    0.93402E+03    0.15366E-02    0.87677E+00    0.49641E+07    0.31006E+05
    15    0.94418E+03    0.20051E-02    0.96963E+00    0.51150E+07    0.30166E+05
    16    0.95595E+03    0.25107E-02    0.10653E+01    0.52515E+07    0.29316E+05
    17    0.96936E+03    0.31573E-02    0.11618E+01    0.53752E+07    0.28481E+05
    18    0.98350E+03    0.38966E-02    0.12579E+01    0.54873E+07    0.27687E+05
    19    0.99914E+03    0.47242E-02    0.13535E+01    0.55886E+07    0.26927E+05
    20    0.10146E+04    0.56925E-02    0.14460E+01    0.56797E+07    0.26193E+05
    21    0.10302E+04    0.67694E-02    0.15352E+01    0.57617E+07    0.25486E+05
    22    0.10464E+04    0.79885E-02    0.16207E+01    0.58357E+07    0.24806E+05
    23    0.10630E+04    0.93697E-02    0.17023E+01    0.59022E+07    0.24150E+05
    24    0.10799E+04    0.10898E-01    0.17798E+01    0.59617E+07    0.23516E+05
    25    0.10973E+04    0.12603E-01    0.18521E+01    0.60147E+07    0.22904E+05
    26    0.11148E+04    0.14486E-01    0.19194E+01    0.60619E+07    0.22315E+05
    27    0.11328E+04    0.16544E-01    0.19803E+01    0.61037E+07    0.21748E+05
    28    0.11511E+04    0.18803E-01    0.20342E+01    0.61405E+07    0.21203E+05
    29    0.11698E+04    0.21264E-01    0.20810E+01    0.61724E+07    0.20680E+05
    30    0.11887E+04    0.23937E-01    0.21193E+01    0.61996E+07    0.20178E+05
    31    0.12076E+04    0.26837E-01    0.21490E+01    0.62225E+07    0.19694E+05
    32    0.12270E+04    0.29969E-01    0.21703E+01    0.62418E+07    0.19224E+05
