#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.10248E+04    0.27347E-01    0.12272E-02    0.45182E-02   -0.13497E-01    0.27347E-01    0.12119E-05   -0.17405E-07    0.22929E-06   -0.55619E-06    0.12272E-02   -0.17405E-07    0.84913E-08   -0.41748E-08    0.72316E-10    0.45182E-02    0.22929E-06   -0.41748E-08    0.29785E-06   -0.77928E-06   -0.13497E-01   -0.55619E-06    0.72316E-10   -0.77928E-06    0.21553E-05
     3    0.98874E+03    0.61974E-01    0.86266E-03    0.29776E-02   -0.92309E-02    0.61974E-01    0.57211E-05   -0.20855E-07    0.33471E-06   -0.82848E-06    0.86266E-03   -0.20855E-07    0.51703E-08   -0.30754E-08    0.57900E-09    0.29776E-02    0.33471E-06   -0.30754E-08    0.41405E-06   -0.11025E-05   -0.92309E-02   -0.82848E-06    0.57900E-09   -0.11025E-05    0.31306E-05
     4    0.95380E+03    0.10568E+00    0.65040E-03    0.17960E-02   -0.59099E-02    0.10568E+00    0.16465E-04   -0.22697E-07    0.35872E-06   -0.89267E-06    0.65040E-03   -0.22697E-07    0.35763E-08   -0.25781E-08    0.11261E-08    0.17960E-02    0.35872E-06   -0.25781E-08    0.53519E-06   -0.14335E-05   -0.59099E-02   -0.89267E-06    0.11261E-08   -0.14335E-05    0.41385E-05
     5    0.92908E+03    0.15767E+00    0.51273E-03    0.10427E-02   -0.37534E-02    0.15767E+00    0.37122E-04   -0.23842E-07    0.32726E-06   -0.81304E-06    0.51273E-03   -0.23842E-07    0.26587E-08   -0.22439E-08    0.14142E-08    0.10427E-02    0.32726E-06   -0.22439E-08    0.65956E-06   -0.17685E-05   -0.37534E-02   -0.81304E-06    0.14142E-08   -0.17685E-05    0.51659E-05
     6    0.91344E+03    0.21720E+00    0.41759E-03    0.61269E-03   -0.24863E-02    0.21720E+00    0.72039E-04   -0.24439E-07    0.26972E-06   -0.66676E-06    0.41759E-03   -0.24439E-07    0.20704E-08   -0.19853E-08    0.15377E-08    0.61269E-03    0.26972E-06   -0.19853E-08    0.78304E-06   -0.20963E-05   -0.24863E-02   -0.66676E-06    0.15377E-08   -0.20963E-05    0.61796E-05
     7    0.90470E+03    0.28354E+00    0.34858E-03    0.34928E-03   -0.16846E-02    0.28354E+00    0.12621E-03   -0.24733E-07    0.19934E-06   -0.48701E-06    0.34858E-03   -0.24733E-07    0.16660E-08   -0.17834E-08    0.15895E-08    0.34928E-03    0.19934E-06   -0.17834E-08    0.90336E-06   -0.24112E-05   -0.16846E-02   -0.48701E-06    0.15895E-08   -0.24112E-05    0.71621E-05
     8    0.90073E+03    0.35592E+00    0.29600E-03    0.20670E-03   -0.12256E-02    0.35592E+00    0.20515E-03   -0.25074E-07    0.14378E-06   -0.34854E-06    0.29600E-03   -0.25074E-07    0.13738E-08   -0.16367E-08    0.16548E-08    0.20670E-03    0.14378E-06   -0.16367E-08    0.10195E-05   -0.27113E-05   -0.12256E-02   -0.34854E-06    0.16548E-08   -0.27113E-05    0.81064E-05
     9    0.90065E+03    0.43372E+00    0.25446E-03    0.15312E-03   -0.10029E-02    0.43372E+00    0.31488E-03   -0.25556E-07    0.10836E-06   -0.26054E-06    0.25446E-03   -0.25556E-07    0.11547E-08   -0.15152E-08    0.16788E-08    0.15312E-03    0.10836E-06   -0.15152E-08    0.11314E-05   -0.29966E-05   -0.10029E-02   -0.26054E-06    0.16788E-08   -0.29966E-05    0.90122E-05
    10    0.90331E+03    0.51598E+00    0.22105E-03    0.12659E-03   -0.85257E-03    0.51598E+00    0.46176E-03   -0.25981E-07    0.80172E-07   -0.18918E-06    0.22105E-03   -0.25981E-07    0.98530E-09   -0.14106E-08    0.16886E-08    0.12659E-03    0.80172E-07   -0.14106E-08    0.12378E-05   -0.32635E-05   -0.85257E-03   -0.18918E-06    0.16886E-08   -0.32635E-05    0.98659E-05
    11    0.90790E+03    0.60210E+00    0.19414E-03    0.10179E-03   -0.73207E-03    0.60210E+00    0.65310E-03   -0.26090E-07    0.52384E-07   -0.12427E-06    0.19414E-03   -0.26090E-07    0.85151E-09   -0.13199E-08    0.16751E-08    0.10179E-03    0.52384E-07   -0.13199E-08    0.13377E-05   -0.35107E-05   -0.73207E-03   -0.12427E-06    0.16751E-08   -0.35107E-05    0.10665E-04
