#           k/h    P           
    0.73812E-04    0.34122E+03
    0.10301E-03    0.47090E+03
    0.14377E-03    0.64978E+03
    0.20064E-03    0.89639E+03
    0.28002E-03    0.12361E+04
    0.39079E-03    0.17030E+04
    0.54540E-03    0.23430E+04
    0.76116E-03    0.32153E+04
    0.10623E-02    0.43948E+04
    0.14825E-02    0.59702E+04
    0.20691E-02    0.80350E+04
    0.28876E-02    0.10667E+05
    0.40300E-02    0.13885E+05
    0.41666E-02    0.14237E+05
    0.43078E-02    0.14594E+05
    0.44538E-02    0.14955E+05
    0.46048E-02    0.15320E+05
    0.47609E-02    0.15690E+05
    0.49222E-02    0.16063E+05
    0.50891E-02    0.16440E+05
    0.52616E-02    0.16820E+05
    0.54399E-02    0.17203E+05
    0.56243E-02    0.17588E+05
    0.58149E-02    0.17975E+05
    0.60120E-02    0.18364E+05
    0.62158E-02    0.18754E+05
    0.64265E-02    0.19144E+05
    0.66443E-02    0.19533E+05
    0.68695E-02    0.19923E+05
    0.71024E-02    0.20310E+05
    0.73431E-02    0.20696E+05
    0.75920E-02    0.21079E+05
    0.78493E-02    0.21458E+05
    0.81154E-02    0.21833E+05
    0.83905E-02    0.22202E+05
    0.86748E-02    0.22566E+05
    0.89689E-02    0.22922E+05
    0.92729E-02    0.23270E+05
    0.95872E-02    0.23610E+05
    0.99121E-02    0.23939E+05
    0.10248E-01    0.24257E+05
    0.10595E-01    0.24562E+05
    0.10955E-01    0.24854E+05
    0.11326E-01    0.25131E+05
    0.11710E-01    0.25392E+05
    0.12107E-01    0.25635E+05
    0.12517E-01    0.25860E+05
    0.12941E-01    0.26064E+05
    0.13380E-01    0.26247E+05
    0.13834E-01    0.26408E+05
    0.14302E-01    0.26544E+05
    0.14787E-01    0.26654E+05
    0.15288E-01    0.26738E+05
    0.15807E-01    0.26793E+05
    0.16342E-01    0.26819E+05
    0.16896E-01    0.26814E+05
    0.17469E-01    0.26777E+05
    0.18061E-01    0.26707E+05
    0.18673E-01    0.26603E+05
    0.19306E-01    0.26465E+05
    0.19961E-01    0.26291E+05
    0.20637E-01    0.26082E+05
    0.21337E-01    0.25837E+05
    0.22060E-01    0.25555E+05
    0.22808E-01    0.25239E+05
    0.23581E-01    0.24887E+05
