#           k/h    P           
    0.73812E-04    0.29248E+03
    0.10301E-03    0.40363E+03
    0.14377E-03    0.55695E+03
    0.20064E-03    0.76834E+03
    0.28002E-03    0.10595E+04
    0.39079E-03    0.14597E+04
    0.54540E-03    0.20083E+04
    0.76116E-03    0.27560E+04
    0.10623E-02    0.37670E+04
    0.14825E-02    0.51173E+04
    0.20691E-02    0.68872E+04
    0.28876E-02    0.91429E+04
    0.40300E-02    0.11902E+05
    0.41666E-02    0.12203E+05
    0.43078E-02    0.12509E+05
    0.44538E-02    0.12818E+05
    0.46048E-02    0.13132E+05
    0.47609E-02    0.13449E+05
    0.49222E-02    0.13769E+05
    0.50891E-02    0.14092E+05
    0.52616E-02    0.14417E+05
    0.54399E-02    0.14746E+05
    0.56243E-02    0.15076E+05
    0.58149E-02    0.15408E+05
    0.60120E-02    0.15741E+05
    0.62158E-02    0.16075E+05
    0.64265E-02    0.16409E+05
    0.66443E-02    0.16743E+05
    0.68695E-02    0.17076E+05
    0.71024E-02    0.17409E+05
    0.73431E-02    0.17739E+05
    0.75920E-02    0.18067E+05
    0.78493E-02    0.18392E+05
    0.81154E-02    0.18714E+05
    0.83905E-02    0.19031E+05
    0.86748E-02    0.19342E+05
    0.89689E-02    0.19648E+05
    0.92729E-02    0.19946E+05
    0.95872E-02    0.20237E+05
    0.99121E-02    0.20519E+05
    0.10248E-01    0.20791E+05
    0.10595E-01    0.21053E+05
    0.10955E-01    0.21303E+05
    0.11326E-01    0.21541E+05
    0.11710E-01    0.21764E+05
    0.12107E-01    0.21973E+05
    0.12517E-01    0.22165E+05
    0.12941E-01    0.22341E+05
    0.13380E-01    0.22498E+05
    0.13834E-01    0.22635E+05
    0.14302E-01    0.22752E+05
    0.14787E-01    0.22846E+05
    0.15288E-01    0.22918E+05
    0.15807E-01    0.22965E+05
    0.16342E-01    0.22987E+05
    0.16896E-01    0.22983E+05
    0.17469E-01    0.22951E+05
    0.18061E-01    0.22892E+05
    0.18673E-01    0.22803E+05
    0.19306E-01    0.22684E+05
    0.19961E-01    0.22535E+05
    0.20637E-01    0.22356E+05
    0.21337E-01    0.22146E+05
    0.22060E-01    0.21905E+05
    0.22808E-01    0.21633E+05
    0.23581E-01    0.21332E+05
    0.24380E-01    0.21002E+05
    0.25206E-01    0.20643E+05
    0.26061E-01    0.20258E+05
    0.26944E-01    0.19848E+05
    0.27857E-01    0.19415E+05
    0.28802E-01    0.18961E+05
    0.29778E-01    0.18489E+05
    0.30787E-01    0.18003E+05
    0.31831E-01    0.17505E+05
    0.32909E-01    0.16999E+05
    0.34025E-01    0.16489E+05
    0.35178E-01    0.15979E+05
    0.36371E-01    0.15472E+05
    0.37603E-01    0.14970E+05
    0.38878E-01    0.14475E+05
    0.40196E-01    0.13995E+05
    0.41558E-01    0.13534E+05
    0.42967E-01    0.13096E+05
    0.44423E-01    0.12683E+05
    0.45929E-01    0.12298E+05
    0.47486E-01    0.11939E+05
    0.49095E-01    0.11607E+05
    0.50759E-01    0.11300E+05
    0.52480E-01    0.11015E+05
    0.54259E-01    0.10749E+05
    0.56098E-01    0.10500E+05
    0.57999E-01    0.10267E+05
    0.60733E-01    0.99752E+04
    0.63467E-01    0.96823E+04
    0.66200E-01    0.93861E+04
    0.68934E-01    0.90750E+04
    0.71668E-01    0.87417E+04
    0.74402E-01    0.83846E+04
    0.77135E-01    0.80065E+04
    0.79869E-01    0.76140E+04
    0.82603E-01    0.72157E+04
    0.85337E-01    0.68207E+04
    0.88071E-01    0.64378E+04
