#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.738116E-04   0.198220E+08   0.198220E+08   0.257289E+08   0.257279E+08   0.000000E+00   0.198220E+08   0.198220E+08   0.198296E+08  -0.471071E+00   0.103558E+08   0.103558E+08   0.407734E-01
   0.103012E-03   0.198207E+08   0.198207E+08   0.250791E+08   0.250771E+08   0.000000E+00   0.198207E+08   0.198207E+08   0.198281E+08  -0.471032E+00   0.103551E+08   0.103551E+08   0.568341E-01
   0.143765E-03   0.198183E+08   0.198183E+08   0.238562E+08   0.238527E+08   0.000000E+00   0.198183E+08   0.198183E+08   0.198253E+08  -0.470958E+00   0.103538E+08   0.103538E+08   0.791350E-01
   0.200641E-03   0.198135E+08   0.198135E+08   0.216298E+08   0.216238E+08   0.000000E+00   0.198135E+08   0.198135E+08   0.198198E+08  -0.470815E+00   0.103513E+08   0.103513E+08   0.109954E+00
   0.280017E-03   0.198043E+08   0.198043E+08   0.178324E+08   0.178234E+08   0.000000E+00   0.198043E+08   0.198043E+08   0.198095E+08  -0.470545E+00   0.103464E+08   0.103464E+08   0.152187E+00
   0.390795E-03   0.197870E+08   0.197869E+08   0.121517E+08   0.121419E+08   0.000000E+00   0.197870E+08   0.197870E+08   0.197905E+08  -0.470052E+00   0.103372E+08   0.103372E+08   0.209248E+00
   0.545398E-03   0.197551E+08   0.197550E+08   0.568017E+07   0.567667E+07   0.000000E+00   0.197551E+08   0.197551E+08   0.197567E+08  -0.469186E+00   0.103203E+08   0.103203E+08   0.284751E+00
   0.761165E-03   0.196986E+08   0.196985E+08   0.165596E+07   0.166041E+07   0.000000E+00   0.196985E+08   0.196985E+08   0.196990E+08  -0.467748E+00   0.102903E+08   0.102903E+08   0.382594E+00
   0.106229E-02   0.196030E+08   0.196029E+08   0.926121E+06   0.922160E+06   0.000000E+00   0.196030E+08   0.196030E+08   0.196033E+08  -0.465435E+00   0.102398E+08   0.102398E+08   0.508362E+00
   0.148255E-02   0.194479E+08   0.194477E+08   0.223183E+06   0.214810E+06   0.000000E+00   0.194479E+08   0.194479E+08   0.194480E+08  -0.461734E+00   0.101585E+08   0.101585E+08   0.670455E+00
   0.206906E-02   0.192045E+08   0.192040E+08  -0.114540E+06  -0.114583E+06   0.000000E+00   0.192044E+08   0.192044E+08   0.192044E+08  -0.455941E+00   0.100312E+08   0.100312E+08   0.878851E+00
   0.288761E-02   0.188345E+08   0.188335E+08  -0.576637E+05  -0.576856E+05   0.000000E+00   0.188343E+08   0.188343E+08   0.188343E+08  -0.447152E+00   0.983774E+07   0.983773E+07   0.114593E+01
   0.402998E-02   0.182915E+08   0.182897E+08  -0.287492E+05  -0.287601E+05   0.000000E+00   0.182912E+08   0.182912E+08   0.182912E+08  -0.434256E+00   0.955399E+07   0.955398E+07   0.148627E+01
   0.416658E-02   0.182257E+08   0.182238E+08  -0.267982E+05  -0.268083E+05   0.000000E+00   0.182254E+08   0.182254E+08   0.182254E+08  -0.432693E+00   0.951962E+07   0.951960E+07   0.152494E+01
   0.430780E-02   0.181576E+08   0.181556E+08  -0.249761E+05  -0.249855E+05   0.000000E+00   0.181573E+08   0.181573E+08   0.181573E+08  -0.431076E+00   0.948403E+07   0.948401E+07   0.156451E+01
   0.445382E-02   0.180872E+08   0.180850E+08  -0.232745E+05  -0.232833E+05   0.000000E+00   0.180868E+08   0.180868E+08   0.180868E+08  -0.429403E+00   0.944722E+07   0.944720E+07   0.160500E+01
   0.460478E-02   0.180143E+08   0.180120E+08  -0.216856E+05  -0.216938E+05   0.000000E+00   0.180139E+08   0.180139E+08   0.180139E+08  -0.427672E+00   0.940914E+07   0.940912E+07   0.164643E+01
   0.476086E-02   0.179390E+08   0.179365E+08  -0.202020E+05  -0.202097E+05   0.000000E+00   0.179386E+08   0.179386E+08   0.179386E+08  -0.425883E+00   0.936978E+07   0.936976E+07   0.168881E+01
   0.492223E-02   0.178611E+08   0.178585E+08  -0.188170E+05  -0.188241E+05   0.000000E+00   0.178607E+08   0.178607E+08   0.178607E+08  -0.424034E+00   0.932910E+07   0.932907E+07   0.173214E+01
   0.508907E-02   0.177807E+08   0.177779E+08  -0.175241E+05  -0.175307E+05   0.000000E+00   0.177802E+08   0.177802E+08   0.177802E+08  -0.422124E+00   0.928707E+07   0.928704E+07   0.177645E+01
   0.526156E-02   0.176976E+08   0.176946E+08  -0.163172E+05  -0.163234E+05   0.000000E+00   0.176971E+08   0.176971E+08   0.176971E+08  -0.420151E+00   0.924366E+07   0.924363E+07   0.182173E+01
