#           k/h    P           
    0.73812E-04    0.33795E+03
    0.10301E-03    0.46637E+03
    0.14377E-03    0.64352E+03
    0.20064E-03    0.88774E+03
    0.28002E-03    0.12241E+04
    0.39079E-03    0.16864E+04
    0.54540E-03    0.23198E+04
    0.76116E-03    0.31827E+04
    0.10623E-02    0.43486E+04
    0.14825E-02    0.59038E+04
    0.20691E-02    0.79385E+04
    0.28876E-02    0.10525E+05
    0.40300E-02    0.13675E+05
    0.41666E-02    0.14019E+05
    0.43078E-02    0.14367E+05
    0.44538E-02    0.14719E+05
    0.46048E-02    0.15075E+05
    0.47609E-02    0.15435E+05
    0.49222E-02    0.15798E+05
    0.50891E-02    0.16164E+05
    0.52616E-02    0.16534E+05
    0.54399E-02    0.16905E+05
    0.56243E-02    0.17279E+05
    0.58149E-02    0.17654E+05
    0.60120E-02    0.18030E+05
    0.62158E-02    0.18407E+05
    0.64265E-02    0.18784E+05
    0.66443E-02    0.19160E+05
    0.68695E-02    0.19535E+05
    0.71024E-02    0.19908E+05
    0.73431E-02    0.20279E+05
    0.75920E-02    0.20646E+05
    0.78493E-02    0.21009E+05
    0.81154E-02    0.21368E+05
    0.83905E-02    0.21721E+05
    0.86748E-02    0.22067E+05
    0.89689E-02    0.22406E+05
    0.92729E-02    0.22737E+05
    0.95872E-02    0.23058E+05
    0.99121E-02    0.23368E+05
    0.10248E-01    0.23667E+05
    0.10595E-01    0.23953E+05
    0.10955E-01    0.24225E+05
    0.11326E-01    0.24482E+05
    0.11710E-01    0.24723E+05
    0.12107E-01    0.24946E+05
    0.12517E-01    0.25150E+05
    0.12941E-01    0.25333E+05
    0.13380E-01    0.25495E+05
    0.13834E-01    0.25635E+05
    0.14302E-01    0.25750E+05
    0.14787E-01    0.25839E+05
    0.15288E-01    0.25901E+05
    0.15807E-01    0.25936E+05
    0.16342E-01    0.25941E+05
    0.16896E-01    0.25915E+05
    0.17469E-01    0.25858E+05
    0.18061E-01    0.25769E+05
    0.18673E-01    0.25646E+05
    0.19306E-01    0.25489E+05
    0.19961E-01    0.25298E+05
    0.20637E-01    0.25072E+05
    0.21337E-01    0.24811E+05
    0.22060E-01    0.24515E+05
    0.22808E-01    0.24185E+05
    0.23581E-01    0.23821E+05
    0.24380E-01    0.23425E+05
    0.25206E-01    0.22998E+05
    0.26061E-01    0.22541E+05
    0.26944E-01    0.22057E+05
    0.27857E-01    0.21548E+05
    0.28802E-01    0.21017E+05
    0.29778E-01    0.20467E+05
    0.30787E-01    0.19903E+05
    0.31831E-01    0.19326E+05
    0.32909E-01    0.18743E+05
    0.34025E-01    0.18157E+05
    0.35178E-01    0.17573E+05
    0.36371E-01    0.16995E+05
    0.37603E-01    0.16421E+05
    0.38878E-01    0.15861E+05
    0.40196E-01    0.15319E+05
    0.41558E-01    0.14802E+05
    0.42967E-01    0.14313E+05
    0.44423E-01    0.13854E+05
    0.45929E-01    0.13426E+05
    0.47486E-01    0.13030E+05
    0.49095E-01    0.12665E+05
    0.50759E-01    0.12328E+05
    0.52480E-01    0.12016E+05
    0.54259E-01    0.11726E+05
    0.56098E-01    0.11457E+05
    0.57999E-01    0.11203E+05
    0.60733E-01    0.10886E+05
    0.63467E-01    0.10563E+05
    0.66200E-01    0.10233E+05
    0.68934E-01    0.98845E+04
    0.71668E-01    0.95097E+04
    0.74402E-01    0.91074E+04
    0.77135E-01    0.86815E+04
    0.79869E-01    0.82401E+04
    0.82603E-01    0.77933E+04
    0.85337E-01    0.73517E+04
    0.88071E-01    0.69257E+04
    0.90804E-01    0.65242E+04
    0.93538E-01    0.61545E+04
    0.96272E-01    0.58221E+04
    0.99006E-01    0.55300E+04
    0.10174E+00    0.52788E+04
    0.10447E+00    0.50667E+04
    0.10721E+00    0.48901E+04
    0.10994E+00    0.47441E+04
    0.11267E+00    0.46230E+04
    0.11541E+00    0.45209E+04
    0.11814E+00    0.44316E+04
    0.12088E+00    0.43489E+04
    0.12361E+00    0.42669E+04
    0.12634E+00    0.41803E+04
    0.12908E+00    0.40848E+04
    0.13181E+00    0.39782E+04
    0.13454E+00    0.38601E+04
    0.13728E+00    0.37320E+04
    0.14001E+00    0.35965E+04
    0.14275E+00    0.34568E+04
    0.14548E+00    0.33160E+04
    0.14821E+00    0.31772E+04
    0.15095E+00    0.30430E+04
    0.15368E+00    0.29157E+04
    0.15641E+00    0.27976E+04
    0.15915E+00    0.26904E+04
    0.16188E+00    0.25954E+04
    0.16462E+00    0.25129E+04
    0.16735E+00    0.24423E+04
    0.17008E+00    0.23825E+04
    0.17282E+00    0.23316E+04
    0.17555E+00    0.22877E+04
    0.17828E+00    0.22485E+04
    0.18102E+00    0.22124E+04
    0.18375E+00    0.21776E+04
    0.18649E+00    0.21425E+04
    0.18922E+00    0.21060E+04
    0.19195E+00    0.20669E+04
    0.19469E+00    0.20245E+04
    0.19742E+00    0.19787E+04
    0.20015E+00    0.19295E+04
    0.20289E+00    0.18777E+04
    0.20562E+00    0.18241E+04
    0.20836E+00    0.17696E+04
    0.21109E+00    0.17155E+04
    0.21382E+00    0.16625E+04
    0.22238E+00    0.15136E+04
    0.23127E+00    0.13969E+04
    0.24052E+00    0.13135E+04
    0.25014E+00    0.12448E+04
    0.26014E+00    0.11700E+04
    0.27055E+00    0.10805E+04
    0.28137E+00    0.98617E+03
    0.29262E+00    0.90428E+03
    0.30432E+00    0.84088E+03
    0.31650E+00    0.78800E+03
    0.32915E+00    0.73263E+03
    0.34232E+00    0.67272E+03
    0.35601E+00    0.61682E+03
    0.37025E+00    0.57057E+03
    0.38506E+00    0.53011E+03
    0.40046E+00    0.48927E+03
    0.41647E+00    0.44902E+03
    0.43313E+00    0.41352E+03
    0.45045E+00    0.38213E+03
    0.46847E+00    0.35187E+03
    0.48720E+00    0.32314E+03
    0.50669E+00    0.29741E+03
    0.52695E+00    0.27373E+03
    0.54803E+00    0.25136E+03
    0.56995E+00    0.23089E+03
    0.59274E+00    0.21212E+03
    0.61645E+00    0.19462E+03
    0.64110E+00    0.17856E+03
    0.80064E+00    0.10880E+03
    0.99988E+00    0.65519E+02
    0.12487E+01    0.39042E+02
    0.15594E+01    0.23046E+02
    0.19475E+01    0.13487E+02
    0.24321E+01    0.78324E+01
    0.30374E+01    0.45164E+01
    0.37932E+01    0.25876E+01
    0.47371E+01    0.14739E+01
    0.59160E+01    0.83501E+00
    0.73882E+01    0.47073E+00
    0.92267E+01    0.26417E+00
    0.11523E+02    0.14763E+00
