#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.738116E-04   0.202137E+08   0.202137E+08   0.262220E+08   0.262209E+08   0.000000E+00   0.202137E+08   0.202137E+08   0.202216E+08  -0.468309E+00   0.104098E+08   0.104098E+08   0.420149E-01
   0.103012E-03   0.202123E+08   0.202123E+08   0.255455E+08   0.255435E+08   0.000000E+00   0.202123E+08   0.202123E+08   0.202201E+08  -0.468268E+00   0.104091E+08   0.104091E+08   0.585615E-01
   0.143765E-03   0.202097E+08   0.202097E+08   0.242733E+08   0.242696E+08   0.000000E+00   0.202097E+08   0.202097E+08   0.202170E+08  -0.468190E+00   0.104077E+08   0.104077E+08   0.815359E-01
   0.200641E-03   0.202046E+08   0.202046E+08   0.219603E+08   0.219541E+08   0.000000E+00   0.202046E+08   0.202046E+08   0.202112E+08  -0.468041E+00   0.104051E+08   0.104051E+08   0.113279E+00
   0.280017E-03   0.201948E+08   0.201948E+08   0.180263E+08   0.180170E+08   0.000000E+00   0.201948E+08   0.201948E+08   0.202002E+08  -0.467761E+00   0.103999E+08   0.103999E+08   0.156759E+00
   0.390795E-03   0.201763E+08   0.201763E+08   0.121749E+08   0.121650E+08   0.000000E+00   0.201763E+08   0.201763E+08   0.201800E+08  -0.467248E+00   0.103903E+08   0.103903E+08   0.215445E+00
   0.545398E-03   0.201424E+08   0.201424E+08   0.558986E+07   0.558662E+07   0.000000E+00   0.201424E+08   0.201424E+08   0.201441E+08  -0.466352E+00   0.103725E+08   0.103725E+08   0.293029E+00
   0.761165E-03   0.200824E+08   0.200823E+08   0.161106E+07   0.161559E+07   0.000000E+00   0.200824E+08   0.200824E+08   0.200829E+08  -0.464865E+00   0.103411E+08   0.103411E+08   0.393436E+00
   0.106229E-02   0.199811E+08   0.199810E+08   0.910106E+06   0.905783E+06   0.000000E+00   0.199811E+08   0.199811E+08   0.199814E+08  -0.462477E+00   0.102884E+08   0.102884E+08   0.522405E+00
   0.148255E-02   0.198171E+08   0.198169E+08   0.212064E+06   0.202843E+06   0.000000E+00   0.198171E+08   0.198171E+08   0.198172E+08  -0.458661E+00   0.102036E+08   0.102036E+08   0.688487E+00
   0.206906E-02   0.195602E+08   0.195597E+08  -0.125293E+06  -0.125336E+06   0.000000E+00   0.195602E+08   0.195602E+08   0.195601E+08  -0.452703E+00   0.100712E+08   0.100712E+08   0.901833E+00
   0.288761E-02   0.191708E+08   0.191698E+08  -0.630367E+05  -0.630586E+05   0.000000E+00   0.191706E+08   0.191706E+08   0.191706E+08  -0.443685E+00   0.987050E+07   0.987049E+07   0.117503E+01
