#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.738116E-04   0.194469E+08   0.194469E+08   0.252560E+08   0.252550E+08   0.000000E+00   0.194469E+08   0.194469E+08   0.194542E+08  -0.473770E+00   0.103031E+08   0.103031E+08   0.395942E-01
   0.103012E-03   0.194457E+08   0.194457E+08   0.246313E+08   0.246294E+08   0.000000E+00   0.194457E+08   0.194457E+08   0.194528E+08  -0.473732E+00   0.103024E+08   0.103024E+08   0.551912E-01
   0.143765E-03   0.194434E+08   0.194434E+08   0.234548E+08   0.234514E+08   0.000000E+00   0.194434E+08   0.194434E+08   0.194501E+08  -0.473660E+00   0.103012E+08   0.103012E+08   0.768525E-01
   0.200641E-03   0.194389E+08   0.194389E+08   0.213100E+08   0.213041E+08   0.000000E+00   0.194389E+08   0.194389E+08   0.194450E+08  -0.473523E+00   0.102987E+08   0.102987E+08   0.106795E+00
   0.280017E-03   0.194302E+08   0.194302E+08   0.176417E+08   0.176329E+08   0.000000E+00   0.194302E+08   0.194302E+08   0.194353E+08  -0.473264E+00   0.102941E+08   0.102941E+08   0.147851E+00
   0.390795E-03   0.194140E+08   0.194139E+08   0.121242E+08   0.121145E+08   0.000000E+00   0.194140E+08   0.194140E+08   0.194174E+08  -0.472788E+00   0.102853E+08   0.102853E+08   0.203348E+00
   0.545398E-03   0.193839E+08   0.193839E+08   0.576494E+07   0.576120E+07   0.000000E+00   0.193839E+08   0.193839E+08   0.193856E+08  -0.471953E+00   0.102692E+08   0.102692E+08   0.276882E+00
   0.761165E-03   0.193306E+08   0.193306E+08   0.170127E+07   0.170564E+07   0.000000E+00   0.193306E+08   0.193306E+08   0.193311E+08  -0.470561E+00   0.102405E+08   0.102405E+08   0.372261E+00
   0.106229E-02   0.192404E+08   0.192402E+08   0.939996E+06   0.936392E+06   0.000000E+00   0.192403E+08   0.192403E+08   0.192406E+08  -0.468319E+00   0.101922E+08   0.101922E+08   0.494966E+00
   0.148255E-02   0.190935E+08   0.190933E+08   0.235153E+06   0.227532E+06   0.000000E+00   0.190935E+08   0.190935E+08   0.190936E+08  -0.464726E+00   0.101141E+08   0.101141E+08   0.653230E+00
   0.206906E-02   0.188626E+08   0.188621E+08  -0.104007E+06  -0.104050E+06   0.000000E+00   0.188625E+08   0.188625E+08   0.188624E+08  -0.459091E+00   0.999156E+07   0.999155E+07   0.856871E+00
   0.288761E-02   0.185106E+08   0.185097E+08  -0.523928E+05  -0.524146E+05   0.000000E+00   0.185105E+08   0.185105E+08   0.185105E+08  -0.450521E+00   0.980499E+07   0.980498E+07   0.111807E+01
   0.402998E-02   0.179928E+08   0.179911E+08  -0.261441E+05  -0.261549E+05   0.000000E+00   0.179925E+08   0.179925E+08   0.179925E+08  -0.437912E+00   0.953055E+07   0.953053E+07   0.145116E+01
   0.416658E-02   0.179299E+08   0.179281E+08  -0.243723E+05  -0.243825E+05   0.000000E+00   0.179296E+08   0.179296E+08   0.179296E+08  -0.436382E+00   0.949724E+07   0.949722E+07   0.148902E+01
   0.430780E-02   0.178649E+08   0.178629E+08  -0.227176E+05  -0.227270E+05   0.000000E+00   0.178646E+08   0.178646E+08   0.178645E+08  -0.434798E+00   0.946276E+07   0.946274E+07   0.152777E+01
   0.445382E-02   0.177975E+08   0.177954E+08  -0.211722E+05  -0.211810E+05   0.000000E+00   0.177972E+08   0.177972E+08   0.177972E+08  -0.433159E+00   0.942708E+07   0.942706E+07   0.156742E+01
   0.460478E-02   0.177278E+08   0.177256E+08  -0.197291E+05  -0.197373E+05   0.000000E+00   0.177275E+08   0.177275E+08   0.177275E+08  -0.431462E+00   0.939016E+07   0.939014E+07   0.160799E+01
   0.476086E-02   0.176558E+08   0.176534E+08  -0.183815E+05  -0.183892E+05   0.000000E+00   0.176554E+08   0.176554E+08   0.176554E+08  -0.429708E+00   0.935198E+07   0.935195E+07   0.164950E+01
   0.492223E-02   0.175813E+08   0.175788E+08  -0.171234E+05  -0.171305E+05   0.000000E+00   0.175809E+08   0.175809E+08   0.175809E+08  -0.427894E+00   0.931250E+07   0.931248E+07   0.169194E+01
   0.508907E-02   0.175043E+08   0.175016E+08  -0.159488E+05  -0.159555E+05   0.000000E+00   0.175039E+08   0.175039E+08   0.175039E+08  -0.426020E+00   0.927171E+07   0.927168E+07   0.173535E+01
   0.526156E-02   0.174248E+08   0.174219E+08  -0.148524E+05  -0.148585E+05   0.000000E+00   0.174243E+08   0.174243E+08   0.174243E+08  -0.424083E+00   0.922956E+07   0.922953E+07   0.177972E+01
   0.543990E-02   0.173426E+08   0.173396E+08  -0.138289E+05  -0.138347E+05   0.000000E+00   0.173422E+08   0.173422E+08   0.173422E+08  -0.422084E+00   0.918604E+07   0.918601E+07   0.182506E+01
   0.562429E-02   0.172579E+08   0.172546E+08  -0.128737E+05  -0.128791E+05   0.000000E+00   0.172574E+08   0.172574E+08   0.172573E+08  -0.420019E+00   0.914111E+07   0.914108E+07   0.187139E+01
   0.581492E-02   0.171704E+08   0.171669E+08  -0.119823E+05  -0.119873E+05   0.000000E+00   0.171698E+08   0.171698E+08   0.171698E+08  -0.417889E+00   0.909474E+07   0.909471E+07   0.191871E+01
   0.601202E-02   0.170801E+08   0.170764E+08  -0.111506E+05  -0.111552E+05   0.000000E+00   0.170795E+08   0.170795E+08   0.170795E+08  -0.415691E+00   0.904692E+07   0.904688E+07   0.196702E+01
   0.621580E-02   0.169870E+08   0.169831E+08  -0.103745E+05  -0.103789E+05   0.000000E+00   0.169864E+08   0.169864E+08   0.169864E+08  -0.413425E+00   0.899759E+07   0.899755E+07   0.201633E+01
   0.642648E-02   0.168911E+08   0.168869E+08  -0.965059E+04  -0.965461E+04   0.000000E+00   0.168904E+08   0.168904E+08   0.168904E+08  -0.411088E+00   0.894674E+07   0.894670E+07   0.206664E+01
   0.664431E-02   0.167922E+08   0.167878E+08  -0.897530E+04  -0.897904E+04   0.000000E+00   0.167915E+08   0.167915E+08   0.167915E+08  -0.408681E+00   0.889435E+07   0.889430E+07   0.211795E+01
   0.686952E-02   0.166903E+08   0.166856E+08  -0.834548E+04  -0.834896E+04   0.000000E+00   0.166896E+08   0.166896E+08   0.166896E+08  -0.406201E+00   0.884037E+07   0.884032E+07   0.217024E+01
   0.710236E-02   0.165854E+08   0.165804E+08  -0.775815E+04  -0.776138E+04   0.000000E+00   0.165847E+08   0.165847E+08   0.165847E+08  -0.403647E+00   0.878478E+07   0.878473E+07   0.222352E+01
   0.734310E-02   0.164775E+08   0.164721E+08  -0.721051E+04  -0.721352E+04   0.000000E+00   0.164766E+08   0.164766E+08   0.164766E+08  -0.401017E+00   0.872755E+07   0.872750E+07   0.227776E+01
   0.759199E-02   0.163663E+08   0.163607E+08  -0.669996E+04  -0.670275E+04   0.000000E+00   0.163654E+08   0.163654E+08   0.163654E+08  -0.398311E+00   0.866866E+07   0.866861E+07   0.233296E+01
   0.784933E-02   0.162520E+08   0.162460E+08  -0.622404E+04  -0.622663E+04   0.000000E+00   0.162511E+08   0.162511E+08   0.162511E+08  -0.395527E+00   0.860807E+07   0.860802E+07   0.238908E+01
   0.811538E-02   0.161344E+08   0.161280E+08  -0.578048E+04  -0.578288E+04   0.000000E+00   0.161334E+08   0.161334E+08   0.161334E+08  -0.392664E+00   0.854576E+07   0.854570E+07   0.244611E+01
   0.839045E-02   0.160135E+08   0.160067E+08  -0.536713E+04  -0.536936E+04   0.000000E+00   0.160125E+08   0.160125E+08   0.160125E+08  -0.389720E+00   0.848169E+07   0.848163E+07   0.250401E+01
   0.867485E-02   0.158893E+08   0.158821E+08  -0.498200E+04  -0.498408E+04   0.000000E+00   0.158882E+08   0.158882E+08   0.158882E+08  -0.386694E+00   0.841584E+07   0.841578E+07   0.256274E+01
   0.896888E-02   0.157616E+08   0.157540E+08  -0.462322E+04  -0.462515E+04   0.000000E+00   0.157604E+08   0.157604E+08   0.157604E+08  -0.383586E+00   0.834818E+07   0.834811E+07   0.262226E+01
   0.927288E-02   0.156305E+08   0.156224E+08  -0.428905E+04  -0.429084E+04   0.000000E+00   0.156292E+08   0.156292E+08   0.156292E+08  -0.380392E+00   0.827868E+07   0.827861E+07   0.268251E+01
   0.958719E-02   0.154958E+08   0.154872E+08  -0.397785E+04  -0.397950E+04   0.000000E+00   0.154945E+08   0.154945E+08   0.154945E+08  -0.377113E+00   0.820732E+07   0.820724E+07   0.274344E+01
   0.991215E-02   0.153576E+08   0.153484E+08  -0.368808E+04  -0.368962E+04   0.000000E+00   0.153562E+08   0.153562E+08   0.153562E+08  -0.373747E+00   0.813406E+07   0.813397E+07   0.280496E+01
   0.102481E-01   0.152158E+08   0.152060E+08  -0.341834E+04  -0.341976E+04   0.000000E+00   0.152142E+08   0.152142E+08   0.152142E+08  -0.370292E+00   0.805887E+07   0.805878E+07   0.286700E+01
   0.105955E-01   0.150702E+08   0.150599E+08  -0.316727E+04  -0.316859E+04   0.000000E+00   0.150686E+08   0.150686E+08   0.150686E+08  -0.366748E+00   0.798174E+07   0.798164E+07   0.292947E+01
   0.109546E-01   0.149210E+08   0.149100E+08  -0.293363E+04  -0.293486E+04   0.000000E+00   0.149193E+08   0.149193E+08   0.149193E+08  -0.363113E+00   0.790262E+07   0.790253E+07   0.299225E+01
   0.113259E-01   0.147679E+08   0.147564E+08  -0.271627E+04  -0.271740E+04   0.000000E+00   0.147661E+08   0.147661E+08   0.147661E+08  -0.359386E+00   0.782151E+07   0.782140E+07   0.305525E+01
   0.117098E-01   0.146111E+08   0.145988E+08  -0.251407E+04  -0.251512E+04   0.000000E+00   0.146091E+08   0.146091E+08   0.146091E+08  -0.355565E+00   0.773836E+07   0.773825E+07   0.311832E+01
   0.121067E-01   0.144503E+08   0.144374E+08  -0.232604E+04  -0.232701E+04   0.000000E+00   0.144483E+08   0.144483E+08   0.144483E+08  -0.351650E+00   0.765316E+07   0.765305E+07   0.318132E+01
   0.125171E-01   0.142857E+08   0.142719E+08  -0.215121E+04  -0.215211E+04   0.000000E+00   0.142835E+08   0.142835E+08   0.142835E+08  -0.347640E+00   0.756588E+07   0.756576E+07   0.324408E+01
   0.129414E-01   0.141171E+08   0.141025E+08  -0.198870E+04  -0.198953E+04   0.000000E+00   0.141148E+08   0.141148E+08   0.141148E+08  -0.343533E+00   0.747651E+07   0.747638E+07   0.330644E+01
   0.133800E-01   0.139445E+08   0.139291E+08  -0.183768E+04  -0.183844E+04   0.000000E+00   0.139421E+08   0.139421E+08   0.139421E+08  -0.339329E+00   0.738501E+07   0.738488E+07   0.336818E+01
   0.138335E-01   0.137678E+08   0.137516E+08  -0.169737E+04  -0.169807E+04   0.000000E+00   0.137653E+08   0.137653E+08   0.137653E+08  -0.335027E+00   0.729138E+07   0.729124E+07   0.342910E+01
   0.143024E-01   0.135872E+08   0.135700E+08  -0.156704E+04  -0.156769E+04   0.000000E+00   0.135845E+08   0.135845E+08   0.135845E+08  -0.330626E+00   0.719560E+07   0.719545E+07   0.348895E+01
   0.147872E-01   0.134024E+08   0.133843E+08  -0.144603E+04  -0.144663E+04   0.000000E+00   0.133996E+08   0.133996E+08   0.133996E+08  -0.326125E+00   0.709766E+07   0.709750E+07   0.354748E+01
   0.152884E-01   0.132135E+08   0.131945E+08  -0.133369E+04  -0.133424E+04   0.000000E+00   0.132105E+08   0.132105E+08   0.132105E+08  -0.321525E+00   0.699754E+07   0.699738E+07   0.360441E+01
   0.158066E-01   0.130206E+08   0.130005E+08  -0.122944E+04  -0.122995E+04   0.000000E+00   0.130174E+08   0.130174E+08   0.130174E+08  -0.316825E+00   0.689525E+07   0.689508E+07   0.365942E+01
   0.163424E-01   0.128235E+08   0.128024E+08  -0.113273E+04  -0.113320E+04   0.000000E+00   0.128202E+08   0.128202E+08   0.128202E+08  -0.312025E+00   0.679079E+07   0.679060E+07   0.371219E+01
   0.168963E-01   0.126224E+08   0.126002E+08  -0.104304E+04  -0.104347E+04   0.000000E+00   0.126189E+08   0.126189E+08   0.126189E+08  -0.307126E+00   0.668416E+07   0.668397E+07   0.376236E+01
   0.174690E-01   0.124172E+08   0.123939E+08  -0.959889E+03  -0.960289E+03   0.000000E+00   0.124135E+08   0.124135E+08   0.124135E+08  -0.302127E+00   0.657538E+07   0.657518E+07   0.380955E+01
   0.180611E-01   0.122080E+08   0.121835E+08  -0.882839E+03  -0.883206E+03   0.000000E+00   0.122042E+08   0.122042E+08   0.122042E+08  -0.297031E+00   0.646447E+07   0.646426E+07   0.385336E+01
   0.186733E-01   0.119948E+08   0.119692E+08  -0.811466E+03  -0.811804E+03   0.000000E+00   0.119908E+08   0.119908E+08   0.119908E+08  -0.291839E+00   0.635146E+07   0.635124E+07   0.389335E+01
   0.193062E-01   0.117778E+08   0.117510E+08  -0.745382E+03  -0.745692E+03   0.000000E+00   0.117736E+08   0.117736E+08   0.117736E+08  -0.286552E+00   0.623640E+07   0.623617E+07   0.392906E+01
   0.199606E-01   0.115570E+08   0.115289E+08  -0.684222E+03  -0.684508E+03   0.000000E+00   0.115526E+08   0.115526E+08   0.115526E+08  -0.281173E+00   0.611934E+07   0.611910E+07   0.396002E+01
   0.206372E-01   0.113325E+08   0.113032E+08  -0.627649E+03  -0.627910E+03   0.000000E+00   0.113279E+08   0.113279E+08   0.113279E+08  -0.275704E+00   0.600033E+07   0.600009E+07   0.398571E+01
   0.213367E-01   0.111045E+08   0.110740E+08  -0.575345E+03  -0.575584E+03   0.000000E+00   0.110997E+08   0.110997E+08   0.110997E+08  -0.270151E+00   0.587947E+07   0.587921E+07   0.400561E+01
   0.220599E-01   0.108732E+08   0.108414E+08  -0.527015E+03  -0.527234E+03   0.000000E+00   0.108682E+08   0.108682E+08   0.108682E+08  -0.264516E+00   0.575684E+07   0.575658E+07   0.401919E+01
   0.228076E-01   0.106388E+08   0.106057E+08  -0.482385E+03  -0.482585E+03   0.000000E+00   0.106336E+08   0.106336E+08   0.106336E+08  -0.258806E+00   0.563257E+07   0.563229E+07   0.402589E+01
   0.235807E-01   0.104015E+08   0.103671E+08  -0.441197E+03  -0.441381E+03   0.000000E+00   0.103961E+08   0.103961E+08   0.103961E+08  -0.253026E+00   0.550677E+07   0.550648E+07   0.402514E+01
   0.243800E-01   0.101616E+08   0.101260E+08  -0.403213E+03  -0.403381E+03   0.000000E+00   0.101560E+08   0.101560E+08   0.101560E+08  -0.247182E+00   0.537960E+07   0.537931E+07   0.401637E+01
   0.252063E-01   0.991946E+07   0.988266E+07  -0.368209E+03  -0.368362E+03   0.000000E+00   0.991367E+07   0.991367E+07   0.991367E+07  -0.241284E+00   0.525123E+07   0.525093E+07   0.399903E+01
   0.260607E-01   0.967541E+07   0.963744E+07  -0.335977E+03  -0.336117E+03   0.000000E+00   0.966943E+07   0.966943E+07   0.966943E+07  -0.235340E+00   0.512186E+07   0.512155E+07   0.397257E+01
   0.269440E-01   0.942986E+07   0.939078E+07  -0.306323E+03  -0.306451E+03   0.000000E+00   0.942372E+07   0.942372E+07   0.942372E+07  -0.229359E+00   0.499171E+07   0.499139E+07   0.393646E+01
   0.278573E-01   0.918330E+07   0.914317E+07  -0.279066E+03  -0.279182E+03   0.000000E+00   0.917698E+07   0.917698E+07   0.917698E+07  -0.223354E+00   0.486102E+07   0.486069E+07   0.389019E+01
   0.288015E-01   0.893621E+07   0.889511E+07  -0.254036E+03  -0.254142E+03   0.000000E+00   0.892974E+07   0.892974E+07   0.892974E+07  -0.217337E+00   0.473006E+07   0.472973E+07   0.383334E+01
   0.297777E-01   0.868916E+07   0.864719E+07  -0.231075E+03  -0.231171E+03   0.000000E+00   0.868256E+07   0.868256E+07   0.868256E+07  -0.211321E+00   0.459913E+07   0.459879E+07   0.376550E+01
   0.307871E-01   0.844275E+07   0.840003E+07  -0.210035E+03  -0.210123E+03   0.000000E+00   0.843603E+07   0.843603E+07   0.843603E+07  -0.205321E+00   0.446855E+07   0.446821E+07   0.368638E+01
   0.318306E-01   0.819765E+07   0.815430E+07  -0.190779E+03  -0.190859E+03   0.000000E+00   0.819083E+07   0.819083E+07   0.819083E+07  -0.199353E+00   0.433867E+07   0.433832E+07   0.359574E+01
   0.329095E-01   0.795454E+07   0.791071E+07  -0.173177E+03  -0.173249E+03   0.000000E+00   0.794765E+07   0.794765E+07   0.794765E+07  -0.193434E+00   0.420985E+07   0.420951E+07   0.349349E+01
   0.340250E-01   0.771416E+07   0.767001E+07  -0.157108E+03  -0.157174E+03   0.000000E+00   0.770722E+07   0.770722E+07   0.770722E+07  -0.187582E+00   0.408250E+07   0.408216E+07   0.337965E+01
   0.351782E-01   0.747727E+07   0.743298E+07  -0.142458E+03  -0.142518E+03   0.000000E+00   0.747030E+07   0.747030E+07   0.747030E+07  -0.181816E+00   0.395701E+07   0.395667E+07   0.325438E+01
   0.363706E-01   0.724464E+07   0.720040E+07  -0.129121E+03  -0.129175E+03   0.000000E+00   0.723768E+07   0.723768E+07   0.723768E+07  -0.176154E+00   0.383379E+07   0.383345E+07   0.311804E+01
   0.376034E-01   0.701664E+07   0.697265E+07  -0.116989E+03  -0.117038E+03   0.000000E+00   0.700972E+07   0.700972E+07   0.700972E+07  -0.170606E+00   0.371304E+07   0.371270E+07   0.297120E+01
   0.388780E-01   0.679321E+07   0.674969E+07  -0.105957E+03  -0.106001E+03   0.000000E+00   0.678636E+07   0.678636E+07   0.678636E+07  -0.165170E+00   0.359473E+07   0.359440E+07   0.281468E+01
   0.401957E-01   0.657621E+07   0.653340E+07  -0.959559E+02  -0.959959E+02   0.000000E+00   0.656948E+07   0.656948E+07   0.656948E+07  -0.159891E+00   0.347984E+07   0.347953E+07   0.264932E+01
   0.415582E-01   0.636652E+07   0.632464E+07  -0.869041E+02  -0.869403E+02   0.000000E+00   0.635993E+07   0.635993E+07   0.635993E+07  -0.154791E+00   0.336885E+07   0.336854E+07   0.247630E+01
   0.429668E-01   0.616487E+07   0.612415E+07  -0.787239E+02  -0.787567E+02   0.000000E+00   0.615846E+07   0.615846E+07   0.615846E+07  -0.149888E+00   0.326213E+07   0.326183E+07   0.229703E+01
   0.444232E-01   0.597180E+07   0.593249E+07  -0.713404E+02  -0.713701E+02   0.000000E+00   0.596562E+07   0.596562E+07   0.596562E+07  -0.145194E+00   0.315998E+07   0.315970E+07   0.211318E+01
   0.459289E-01   0.578764E+07   0.574995E+07  -0.646818E+02  -0.647087E+02   0.000000E+00   0.578171E+07   0.578171E+07   0.578171E+07  -0.140718E+00   0.306257E+07   0.306230E+07   0.192666E+01
   0.474857E-01   0.561244E+07   0.557657E+07  -0.586794E+02  -0.587038E+02   0.000000E+00   0.560680E+07   0.560680E+07   0.560680E+07  -0.136461E+00   0.296991E+07   0.296966E+07   0.173959E+01
   0.490952E-01   0.544600E+07   0.541212E+07  -0.532681E+02  -0.532903E+02   0.000000E+00   0.544067E+07   0.544067E+07   0.544067E+07  -0.132418E+00   0.288191E+07   0.288168E+07   0.155428E+01
   0.507593E-01   0.528787E+07   0.525614E+07  -0.483871E+02  -0.484072E+02   0.000000E+00   0.528288E+07   0.528288E+07   0.528288E+07  -0.128578E+00   0.279833E+07   0.279812E+07   0.137319E+01
   0.524798E-01   0.513744E+07   0.510797E+07  -0.439801E+02  -0.439985E+02   0.000000E+00   0.513280E+07   0.513280E+07   0.513280E+07  -0.124925E+00   0.271883E+07   0.271864E+07   0.119885E+01
   0.542586E-01   0.499394E+07   0.496679E+07  -0.399960E+02  -0.400127E+02   0.000000E+00   0.498967E+07   0.498967E+07   0.498967E+07  -0.121441E+00   0.264301E+07   0.264284E+07   0.103379E+01
   0.560977E-01   0.485655E+07   0.483174E+07  -0.363887E+02  -0.364039E+02   0.000000E+00   0.485265E+07   0.485265E+07   0.485265E+07  -0.118106E+00   0.257043E+07   0.257028E+07   0.880509E+00
   0.579991E-01   0.472465E+07   0.470213E+07  -0.331188E+02  -0.331326E+02   0.000000E+00   0.472111E+07   0.472111E+07   0.472111E+07  -0.114905E+00   0.250075E+07   0.250062E+07   0.741287E+00
   0.607329E-01   0.455399E+07   0.453446E+07  -0.291151E+02  -0.291273E+02   0.000000E+00   0.455092E+07   0.455092E+07   0.455092E+07  -0.110763E+00   0.241060E+07   0.241049E+07   0.575433E+00
   0.634666E-01   0.439256E+07   0.437556E+07  -0.257173E+02  -0.257280E+02   0.000000E+00   0.438989E+07   0.438989E+07   0.438989E+07  -0.106843E+00   0.232530E+07   0.232521E+07   0.449533E+00
   0.662004E-01   0.423868E+07   0.422367E+07  -0.228101E+02  -0.228196E+02   0.000000E+00   0.423631E+07   0.423631E+07   0.423631E+07  -0.103106E+00   0.224395E+07   0.224388E+07   0.360549E+00
   0.689342E-01   0.408883E+07   0.407526E+07  -0.202937E+02  -0.203022E+02   0.000000E+00   0.408670E+07   0.408670E+07   0.408670E+07  -0.994642E-01   0.216470E+07   0.216464E+07   0.304303E+00
   0.716679E-01   0.394063E+07   0.392796E+07  -0.180948E+02  -0.181023E+02   0.000000E+00   0.393864E+07   0.393864E+07   0.393864E+07  -0.958606E-01   0.208627E+07   0.208621E+07   0.275650E+00
   0.744017E-01   0.379283E+07   0.378055E+07  -0.161598E+02  -0.161665E+02   0.000000E+00   0.379090E+07   0.379090E+07   0.379090E+07  -0.922649E-01   0.200802E+07   0.200796E+07   0.268882E+00
   0.771355E-01   0.364529E+07   0.363297E+07  -0.144495E+02  -0.144556E+02   0.000000E+00   0.364336E+07   0.364336E+07   0.364336E+07  -0.886739E-01   0.192986E+07   0.192980E+07   0.278091E+00
   0.798692E-01   0.349872E+07   0.348603E+07  -0.129350E+02  -0.129404E+02   0.000000E+00   0.349672E+07   0.349672E+07   0.349672E+07  -0.851050E-01   0.185219E+07   0.185212E+07   0.297544E+00
   0.826030E-01   0.335432E+07   0.334104E+07  -0.115934E+02  -0.115982E+02   0.000000E+00   0.335223E+07   0.335223E+07   0.335223E+07  -0.815883E-01   0.177566E+07   0.177558E+07   0.321976E+00
   0.853368E-01   0.321354E+07   0.319954E+07  -0.104061E+02  -0.104104E+02   0.000000E+00   0.321134E+07   0.321134E+07   0.321134E+07  -0.781591E-01   0.170103E+07   0.170094E+07   0.346828E+00
   0.880705E-01   0.307781E+07   0.306310E+07  -0.935692E+01  -0.936082E+01   0.000000E+00   0.307550E+07   0.307550E+07   0.307550E+07  -0.748530E-01   0.162908E+07   0.162898E+07   0.368415E+00
   0.908043E-01   0.294849E+07   0.293314E+07  -0.843171E+01  -0.843522E+01   0.000000E+00   0.294608E+07   0.294608E+07   0.294608E+07  -0.717032E-01   0.156053E+07   0.156042E+07   0.384006E+00
   0.935380E-01   0.282681E+07   0.281097E+07  -0.761773E+01  -0.762090E+01   0.000000E+00   0.282432E+07   0.282432E+07   0.282432E+07  -0.687398E-01   0.149604E+07   0.149592E+07   0.391846E+00
   0.962718E-01   0.271383E+07   0.269772E+07  -0.690350E+01  -0.690638E+01   0.000000E+00   0.271129E+07   0.271129E+07   0.271129E+07  -0.659888E-01   0.143616E+07   0.143605E+07   0.391099E+00
   0.990056E-01   0.261035E+07   0.259422E+07  -0.627843E+01  -0.628104E+01   0.000000E+00   0.260781E+07   0.260781E+07   0.260781E+07  -0.634703E-01   0.138135E+07   0.138124E+07   0.381760E+00
   0.101739E+00   0.251684E+07   0.250094E+07  -0.573246E+01  -0.573485E+01   0.000000E+00   0.251434E+07   0.251434E+07   0.251434E+07  -0.611953E-01   0.133184E+07   0.133173E+07   0.364521E+00
   0.104473E+00   0.243329E+07   0.241786E+07  -0.525588E+01  -0.525807E+01   0.000000E+00   0.243086E+07   0.243086E+07   0.243086E+07  -0.591635E-01   0.128762E+07   0.128752E+07   0.340617E+00
   0.107207E+00   0.235919E+07   0.234447E+07  -0.483932E+01  -0.484134E+01   0.000000E+00   0.235688E+07   0.235688E+07   0.235688E+07  -0.573629E-01   0.124843E+07   0.124833E+07   0.311663E+00
   0.109941E+00   0.229364E+07   0.227979E+07  -0.447390E+01  -0.447576E+01   0.000000E+00   0.229146E+07   0.229146E+07   0.229146E+07  -0.557708E-01   0.121378E+07   0.121369E+07   0.279478E+00
