#           k/h    P           
    0.73812E-04    0.30133E+03
    0.10301E-03    0.41585E+03
    0.14377E-03    0.57383E+03
    0.20064E-03    0.79165E+03
    0.28002E-03    0.10917E+04
    0.39079E-03    0.15044E+04
    0.54540E-03    0.20702E+04
    0.76116E-03    0.28422E+04
    0.10623E-02    0.38875E+04
    0.14825E-02    0.52868E+04
    0.20691E-02    0.71272E+04
    0.28876E-02    0.94844E+04
    0.40300E-02    0.12389E+05
    0.41666E-02    0.12708E+05
    0.43078E-02    0.13031E+05
    0.44538E-02    0.13360E+05
    0.46048E-02    0.13692E+05
    0.47609E-02    0.14029E+05
    0.49222E-02    0.14370E+05
    0.50891E-02    0.14714E+05
    0.52616E-02    0.15062E+05
    0.54399E-02    0.15413E+05
    0.56243E-02    0.15766E+05
    0.58149E-02    0.16122E+05
    0.60120E-02    0.16480E+05
    0.62158E-02    0.16840E+05
    0.64265E-02    0.17200E+05
    0.66443E-02    0.17561E+05
    0.68695E-02    0.17922E+05
    0.71024E-02    0.18283E+05
    0.73431E-02    0.18643E+05
    0.75920E-02    0.19001E+05
    0.78493E-02    0.19357E+05
    0.81154E-02    0.19709E+05
    0.83905E-02    0.20058E+05
    0.86748E-02    0.20402E+05
    0.89689E-02    0.20741E+05
    0.92729E-02    0.21074E+05
    0.95872E-02    0.21399E+05
    0.99121E-02    0.21716E+05
    0.10248E-01    0.22025E+05
    0.10595E-01    0.22323E+05
    0.10955E-01    0.22610E+05
    0.11326E-01    0.22884E+05
    0.11710E-01    0.23145E+05
    0.12107E-01    0.23392E+05
    0.12517E-01    0.23623E+05
    0.12941E-01    0.23837E+05
    0.13380E-01    0.24032E+05
    0.13834E-01    0.24208E+05
    0.14302E-01    0.24363E+05
    0.14787E-01    0.24496E+05
    0.15288E-01    0.24606E+05
    0.15807E-01    0.24691E+05
    0.16342E-01    0.24750E+05
    0.16896E-01    0.24782E+05
    0.17469E-01    0.24786E+05
    0.18061E-01    0.24760E+05
    0.18673E-01    0.24705E+05
    0.19306E-01    0.24619E+05
    0.19961E-01    0.24500E+05
    0.20637E-01    0.24350E+05
    0.21337E-01    0.24167E+05
    0.22060E-01    0.23951E+05
    0.22808E-01    0.23702E+05
    0.23581E-01    0.23421E+05
    0.24380E-01    0.23109E+05
    0.25206E-01    0.22765E+05
    0.26061E-01    0.22391E+05
    0.26944E-01    0.21989E+05
    0.27857E-01    0.21561E+05
    0.28802E-01    0.21108E+05
    0.29778E-01    0.20634E+05
    0.30787E-01    0.20142E+05
    0.31831E-01    0.19634E+05
    0.32909E-01    0.19114E+05
    0.34025E-01    0.18586E+05
    0.35178E-01    0.18054E+05
    0.36371E-01    0.17522E+05
    0.37603E-01    0.16994E+05
    0.38878E-01    0.16467E+05
    0.40196E-01    0.15952E+05
    0.41558E-01    0.15454E+05
    0.42967E-01    0.14976E+05
    0.44423E-01    0.14522E+05
    0.45929E-01    0.14094E+05
