#           k/h    P           
    0.73812E-04    0.30873E+03
    0.10301E-03    0.42605E+03
    0.14377E-03    0.58789E+03
    0.20064E-03    0.81102E+03
    0.28002E-03    0.11183E+04
    0.39079E-03    0.15408E+04
    0.54540E-03    0.21198E+04
    0.76116E-03    0.29091E+04
    0.10623E-02    0.39763E+04
    0.14825E-02    0.54016E+04
    0.20691E-02    0.72698E+04
    0.28876E-02    0.96508E+04
    0.40300E-02    0.12563E+05
    0.41666E-02    0.12881E+05
    0.43078E-02    0.13204E+05
    0.44538E-02    0.13531E+05
    0.46048E-02    0.13861E+05
    0.47609E-02    0.14196E+05
    0.49222E-02    0.14534E+05
    0.50891E-02    0.14875E+05
    0.52616E-02    0.15218E+05
    0.54399E-02    0.15565E+05
    0.56243E-02    0.15913E+05
    0.58149E-02    0.16264E+05
    0.60120E-02    0.16615E+05
    0.62158E-02    0.16968E+05
    0.64265E-02    0.17320E+05
    0.66443E-02    0.17673E+05
    0.68695E-02    0.18025E+05
    0.71024E-02    0.18376E+05
    0.73431E-02    0.18725E+05
    0.75920E-02    0.19071E+05
    0.78493E-02    0.19414E+05
    0.81154E-02    0.19753E+05
    0.83905E-02    0.20088E+05
    0.86748E-02    0.20417E+05
    0.89689E-02    0.20739E+05
    0.92729E-02    0.21054E+05
    0.95872E-02    0.21361E+05
    0.99121E-02    0.21659E+05
    0.10248E-01    0.21946E+05
    0.10595E-01    0.22223E+05
    0.10955E-01    0.22487E+05
    0.11326E-01    0.22737E+05
    0.11710E-01    0.22973E+05
    0.12107E-01    0.23194E+05
    0.12517E-01    0.23397E+05
    0.12941E-01    0.23582E+05
    0.13380E-01    0.23748E+05
    0.13834E-01    0.23893E+05
    0.14302E-01    0.24016E+05
    0.14787E-01    0.24116E+05
    0.15288E-01    0.24191E+05
    0.15807E-01    0.24241E+05
    0.16342E-01    0.24265E+05
    0.16896E-01    0.24260E+05
    0.17469E-01    0.24227E+05
    0.18061E-01    0.24163E+05
    0.18673E-01    0.24069E+05
    0.19306E-01    0.23944E+05
    0.19961E-01    0.23787E+05
    0.20637E-01    0.23598E+05
    0.21337E-01    0.23376E+05
    0.22060E-01    0.23122E+05
    0.22808E-01    0.22835E+05
    0.23581E-01    0.22517E+05
    0.24380E-01    0.22168E+05
    0.25206E-01    0.21790E+05
    0.26061E-01    0.21383E+05
    0.26944E-01    0.20950E+05
    0.27857E-01    0.20493E+05
    0.28802E-01    0.20014E+05
    0.29778E-01    0.19517E+05
    0.30787E-01    0.19003E+05
    0.31831E-01    0.18478E+05
    0.32909E-01    0.17944E+05
    0.34025E-01    0.17405E+05
    0.35178E-01    0.16867E+05
    0.36371E-01    0.16332E+05
    0.37603E-01    0.15801E+05
    0.38878E-01    0.15279E+05
    0.40196E-01    0.14772E+05
    0.41558E-01    0.14286E+05
    0.42967E-01    0.13823E+05
    0.44423E-01    0.13388E+05
    0.45929E-01    0.12981E+05
    0.47486E-01    0.12602E+05
    0.49095E-01    0.12252E+05
    0.50759E-01    0.11928E+05
    0.52480E-01    0.11627E+05
    0.54259E-01    0.11347E+05
    0.56098E-01    0.11083E+05
    0.57999E-01    0.10837E+05
    0.60733E-01    0.10529E+05
    0.63467E-01    0.10220E+05
    0.66200E-01    0.99076E+04
    0.68934E-01    0.95791E+04
    0.71668E-01    0.92274E+04
    0.74402E-01    0.88504E+04
    0.77135E-01    0.84513E+04
    0.79869E-01    0.80370E+04
    0.82603E-01    0.76166E+04
    0.85337E-01    0.71997E+04
    0.88071E-01    0.67955E+04
    0.90804E-01    0.64121E+04
    0.93538E-01    0.60564E+04
    0.96272E-01    0.57339E+04
    0.99006E-01    0.54478E+04
    0.10174E+00    0.51996E+04
    0.10447E+00    0.49883E+04
    0.10721E+00    0.48110E+04
    0.10994E+00    0.46634E+04
    0.11267E+00    0.45402E+04
    0.11541E+00    0.44359E+04
    0.11814E+00    0.43448E+04
    0.12088E+00    0.42615E+04
    0.12361E+00    0.41805E+04
    0.12634E+00    0.40969E+04
    0.12908E+00    0.40066E+04
    0.13181E+00    0.39069E+04
    0.13454E+00    0.37968E+04
    0.13728E+00    0.36769E+04
    0.14001E+00    0.35493E+04
    0.14275E+00    0.34168E+04
    0.14548E+00    0.32824E+04
    0.14821E+00    0.31492E+04
    0.15095E+00    0.30196E+04
    0.15368E+00    0.28959E+04
    0.15641E+00    0.27802E+04
    0.15915E+00    0.26740E+04
    0.16188E+00    0.25786E+04
    0.16462E+00    0.24946E+04
    0.16735E+00    0.24221E+04
    0.17008E+00    0.23600E+04
    0.17282E+00    0.23071E+04
    0.17555E+00    0.22614E+04
    0.17828E+00    0.22212E+04
    0.18102E+00    0.21845E+04
    0.18375E+00    0.21497E+04
    0.18649E+00    0.21152E+04
    0.18922E+00    0.20797E+04
    0.19195E+00    0.20424E+04
    0.19469E+00    0.20024E+04
    0.19742E+00    0.19594E+04
    0.20015E+00    0.19132E+04
    0.20289E+00    0.18644E+04
    0.20562E+00    0.18136E+04
    0.20836E+00    0.17615E+04
    0.21109E+00    0.17093E+04
    0.21382E+00    0.16578E+04
    0.21656E+00    0.16078E+04
    0.22522E+00    0.14678E+04
    0.23423E+00    0.13599E+04
    0.24359E+00    0.12813E+04
    0.25334E+00    0.12133E+04
    0.26347E+00    0.11374E+04
    0.27401E+00    0.10484E+04
    0.28496E+00    0.95748E+03
    0.29636E+00    0.88046E+03
    0.30821E+00    0.82054E+03
    0.32054E+00    0.76857E+03
    0.33336E+00    0.71314E+03
    0.34669E+00    0.65451E+03
    0.36056E+00    0.60112E+03
    0.37498E+00    0.55699E+03
    0.38998E+00    0.51725E+03
    0.40558E+00    0.47691E+03
    0.42180E+00    0.43792E+03
    0.43867E+00    0.40380E+03
    0.45621E+00    0.37313E+03
    0.47446E+00    0.34343E+03
    0.49343E+00    0.31557E+03
    0.51317E+00    0.29061E+03
    0.53369E+00    0.26744E+03
    0.55504E+00    0.24562E+03
    0.57723E+00    0.22571E+03
    0.60032E+00    0.20737E+03
    0.62433E+00    0.19031E+03
    0.64930E+00    0.17465E+03
    0.81088E+00    0.10652E+03
    0.10127E+01    0.64205E+02
    0.12647E+01    0.38291E+02
    0.15794E+01    0.22619E+02
    0.19724E+01    0.13247E+02
    0.24632E+01    0.76971E+01
    0.30762E+01    0.44409E+01
    0.38417E+01    0.25456E+01
    0.47977E+01    0.14506E+01
    0.59916E+01    0.82215E+00
    0.74826E+01    0.46366E+00
    0.93447E+01    0.26029E+00
    0.11670E+02    0.14551E+00
