#    L    TT             EE             TE             PP             TP          
     2    0.33487E+03    0.77643E-10   -0.12313E-04    0.96099E+06    0.33485E+05
     3    0.23437E+03    0.23845E-10    0.77278E-05    0.14705E+07    0.37364E+05
     4    0.17599E+03    0.63870E-11    0.62748E-05    0.19163E+07    0.38634E+05
     5    0.13826E+03    0.21390E-11    0.31658E-05    0.23046E+07    0.38669E+05
     6    0.11206E+03    0.88022E-12    0.29404E-05    0.26424E+07    0.38063E+05
     7    0.92933E+02    0.58582E-12    0.40404E-05    0.29369E+07    0.37119E+05
     8    0.78446E+02    0.60851E-12    0.43281E-05    0.31943E+07    0.36002E+05
     9    0.67164E+02    0.49565E-12    0.33617E-05    0.34200E+07    0.34808E+05
    10    0.58168E+02    0.25493E-12    0.19960E-05    0.36180E+07    0.33584E+05
    11    0.50872E+02    0.95508E-13    0.10819E-05    0.37926E+07    0.32371E+05
    12    0.44999E+02    0.10382E-03   -0.23713E-03    0.39457E+07    0.31177E+05
    13    0.39815E+02    0.10735E-12    0.97431E-06    0.40799E+07    0.30014E+05
    14    0.35521E+02   -0.27194E-04    0.79662E-04    0.41978E+07    0.28892E+05
    15    0.31933E+02    0.12329E-12    0.11609E-05    0.43012E+07    0.27813E+05
    16    0.28780E+02   -0.22586E-04    0.32411E-03    0.43914E+07    0.26779E+05
    17    0.26103E+02    0.62943E-13    0.70365E-06    0.44700E+07    0.25789E+05
    18    0.23307E+02    0.11488E-04   -0.52562E-03    0.45382E+07    0.24844E+05
    19    0.21667E+02    0.28664E-13    0.29438E-06    0.45968E+07    0.23940E+05
    20    0.19873E+02    0.10034E-04   -0.10650E-04    0.46465E+07    0.23074E+05
    21    0.18208E+02    0.24333E-13    0.32603E-06    0.46882E+07    0.22247E+05
    22    0.16803E+02   -0.67106E-05   -0.42673E-04    0.47230E+07    0.21458E+05
    23    0.15463E+02    0.66167E-13    0.55742E-06    0.47514E+07    0.20705E+05
    24    0.14276E+02   -0.45945E-05    0.19329E-03    0.47739E+07    0.19985E+05
    25    0.13250E+02    0.10571E-12    0.66050E-06    0.47909E+07    0.19296E+05
    26    0.12247E+02    0.45677E-05    0.17382E-03    0.48031E+07    0.18638E+05
    27    0.11442E+02    0.87920E-13    0.54879E-06    0.48109E+07    0.18009E+05
    28    0.10634E+02    0.62322E-06   -0.24429E-03    0.48148E+07    0.17407E+05
    29    0.99485E+01    0.46756E-13    0.33090E-06    0.48147E+07    0.16831E+05
    30    0.93675E+01   -0.21393E-05    0.16710E-04    0.48109E+07    0.16278E+05
    31    0.87004E+01    0.26018E-13    0.14123E-06    0.48038E+07    0.15748E+05
    32    0.81213E+01    0.18985E-05    0.16031E-03    0.47939E+07    0.15240E+05
    33    0.76501E+01    0.21096E-13    0.50788E-07    0.47815E+07    0.14753E+05
    34    0.71693E+01    0.58091E-06   -0.27666E-03    0.47667E+07    0.14287E+05
    35    0.67593E+01    0.17093E-13    0.59421E-07    0.47497E+07    0.13839E+05
    36    0.64197E+01   -0.13653E-06    0.46383E-03    0.47307E+07    0.13409E+05
    37    0.59986E+01    0.15593E-13    0.12346E-06    0.47099E+07    0.12997E+05
    38    0.56347E+01    0.41830E-05   -0.55392E-03    0.46874E+07    0.12600E+05
    39    0.53694E+01    0.55145E-05   -0.64610E-03    0.46634E+07    0.12220E+05
    40    0.50524E+01    0.26862E-13    0.21882E-06    0.46379E+07    0.11853E+05
    41    0.48873E+01   -0.10177E-04    0.12921E-02    0.46112E+07    0.11501E+05
    42    0.46363E+01   -0.18179E-04    0.24752E-02    0.45832E+07    0.11162E+05
    43    0.44156E+01   -0.16190E-04    0.26483E-02    0.45542E+07    0.10836E+05
    44    0.40441E+01   -0.11250E-04    0.18018E-02    0.45242E+07    0.10521E+05
    45    0.38608E+01    0.32359E-13    0.21621E-06    0.44933E+07    0.10219E+05
    46    0.37667E+01    0.21386E-04   -0.44408E-02    0.44617E+07    0.99273E+04
    47    0.36198E+01    0.45231E-04   -0.10322E-01    0.44294E+07    0.96463E+04
    48    0.33601E+01    0.68040E-04   -0.13066E-01    0.43965E+07    0.93756E+04
    49    0.30761E+01    0.64032E-04   -0.86922E-02    0.43631E+07    0.91146E+04
    50    0.30051E+01    0.99384E-14    0.97280E-07    0.43293E+07    0.88629E+04
    51    0.29334E+01   -0.15865E-03    0.87114E-02    0.42950E+07    0.86201E+04
    52    0.30732E+01   -0.32573E-03    0.12776E-01    0.42604E+07    0.83859E+04
    53    0.30374E+01   -0.34961E-03    0.92855E-02    0.42256E+07    0.81598E+04
    54    0.27361E+01   -0.23463E-03    0.33016E-02    0.41905E+07    0.79416E+04
    55    0.23763E+01    0.41020E-14    0.25155E-07    0.41552E+07    0.77309E+04
    56    0.21701E+01    0.21343E-03   -0.17291E-02    0.41198E+07    0.75273E+04
    57    0.20514E+01    0.29820E-03   -0.18358E-02    0.40843E+07    0.73306E+04
    58    0.20333E+01    0.26287E-03   -0.12124E-02    0.40487E+07    0.71405E+04
    59    0.19801E+01    0.14575E-03   -0.77348E-03    0.40130E+07    0.69567E+04
    60    0.19050E+01    0.26487E-14    0.23112E-07    0.39772E+07    0.67789E+04
    61    0.21143E+01   -0.80085E-04    0.18113E-02    0.39415E+07    0.66069E+04
    62    0.20074E+01   -0.10301E-03    0.37228E-02    0.39058E+07    0.64405E+04
    63    0.17971E+01   -0.10297E-03    0.47585E-02    0.38701E+07    0.62795E+04
    64    0.17704E+01   -0.62183E-04    0.37191E-02    0.38345E+07    0.61236E+04
    65    0.15457E+01    0.57193E-14    0.44418E-07    0.37991E+07    0.59728E+04
    66    0.14095E+01    0.21984E-04   -0.46037E-02    0.37638E+07    0.58267E+04
    67    0.12006E+01    0.10896E-04   -0.77600E-02    0.37286E+07    0.56854E+04
    68    0.12028E+01    0.13330E-04   -0.83024E-02    0.36937E+07    0.55484E+04
