#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.32282E+03   -0.11507E-04    0.14168E-02   -0.21525E-03    0.91368E-02   -0.11507E-04    0.73648E-10   -0.38658E-10   -0.98499E-09    0.42635E-09    0.14168E-02   -0.38658E-10    0.74934E-08   -0.10661E-08    0.46344E-07   -0.21525E-03   -0.98499E-09   -0.10661E-08    0.24146E-05    0.26722E-05    0.91368E-02    0.42635E-09    0.46344E-07    0.26722E-05    0.37125E-05
     3    0.22668E+03    0.74939E-05    0.93958E-03    0.64760E-03    0.11378E-01    0.74939E-05    0.22699E-10    0.27661E-10   -0.58479E-10    0.58206E-09    0.93958E-03    0.27661E-10    0.45397E-08    0.29476E-08    0.54011E-07    0.64760E-03   -0.58479E-10    0.29476E-08    0.46821E-05    0.53650E-05    0.11378E-01    0.58206E-09    0.54011E-07    0.53650E-05    0.74071E-05
     4    0.17060E+03    0.60582E-05    0.68451E-03    0.15011E-02    0.13411E-01    0.60582E-05    0.61046E-11    0.22273E-10    0.45257E-09    0.76669E-09    0.68451E-03    0.22273E-10    0.31244E-08    0.65266E-08    0.60996E-07    0.15011E-02    0.45257E-09    0.65266E-08    0.76110E-05    0.89334E-05    0.13411E-01    0.76669E-09    0.60996E-07    0.89334E-05    0.12326E-04
     5    0.13426E+03    0.30635E-05    0.52702E-03    0.23346E-02    0.15270E-01    0.30635E-05    0.20527E-11    0.11434E-10    0.41367E-09    0.54615E-09    0.52702E-03    0.11434E-10    0.23113E-08    0.98667E-08    0.67334E-07    0.23346E-02    0.41367E-09    0.98667E-08    0.11180E-04    0.13367E-04    0.15270E-01    0.54615E-09    0.67334E-07    0.13367E-04    0.18469E-04
     6    0.10898E+03    0.28536E-05    0.42085E-03    0.31286E-02    0.16954E-01    0.28536E-05    0.84746E-12    0.10094E-10    0.49649E-10    0.33710E-09    0.42085E-03    0.10094E-10    0.17909E-08    0.12981E-07    0.72998E-07    0.31286E-02    0.49649E-10    0.12981E-07    0.15371E-04    0.18654E-04    0.16954E-01    0.33710E-09    0.72998E-07    0.18654E-04    0.25828E-04
     7    0.90492E+02    0.39223E-05    0.34499E-03    0.38713E-02    0.18472E-01    0.39223E-05    0.56635E-12    0.13623E-10    0.37156E-09    0.11326E-08    0.34499E-03    0.13623E-10    0.14338E-08    0.15863E-07    0.78045E-07    0.38713E-02    0.37156E-09    0.15863E-07    0.20170E-04    0.24781E-04    0.18472E-01    0.11326E-08    0.78045E-07    0.24781E-04    0.34398E-04
     8    0.76468E+02    0.42019E-05    0.28849E-03    0.45640E-02    0.19845E-01    0.42019E-05    0.58950E-12    0.14885E-10    0.12046E-08    0.22055E-08    0.28849E-03    0.14885E-10    0.11762E-08    0.18532E-07    0.82560E-07    0.45640E-02    0.12046E-08    0.18532E-07    0.25559E-04    0.31737E-04    0.19845E-01    0.22055E-08    0.82560E-07    0.31737E-04    0.44173E-04
     9    0.65532E+02    0.32648E-05    0.24507E-03    0.52131E-02    0.21094E-01    0.32648E-05    0.48034E-12    0.11858E-10    0.14819E-08    0.22695E-08    0.24507E-03    0.11858E-10    0.98341E-09    0.21022E-07    0.86630E-07    0.52131E-02    0.14819E-08    0.21022E-07    0.31535E-04    0.39524E-04    0.21094E-01    0.22695E-08    0.86630E-07    0.39524E-04    0.55165E-04
    10    0.56802E+02    0.19401E-05    0.21084E-03    0.58198E-02    0.22224E-01    0.19401E-05    0.24704E-12    0.71491E-11    0.91860E-09    0.13290E-08    0.21084E-03    0.71491E-11    0.83475E-09    0.23341E-07    0.90290E-07    0.58198E-02    0.91860E-09    0.23341E-07    0.38086E-04    0.48133E-04    0.22224E-01    0.13290E-08    0.90290E-07    0.48133E-04    0.67366E-04
    11    0.49715E+02    0.10535E-05    0.18335E-03    0.63909E-02    0.23257E-01    0.10535E-05    0.92580E-13    0.37844E-11    0.15680E-09    0.37047E-09    0.18335E-03    0.37844E-11    0.71760E-09    0.25516E-07    0.93613E-07    0.63909E-02    0.15680E-09    0.25516E-07    0.45215E-04    0.57570E-04    0.23257E-01    0.37047E-09    0.93613E-07    0.57570E-04    0.80793E-04
    12    0.44010E+02   -0.23715E-03    0.16083E-03    0.69268E-02    0.24195E-01   -0.23715E-03    0.10382E-03    0.27619E-11   -0.11617E-09    0.18842E-09    0.16083E-03    0.27619E-11    0.62319E-09    0.27554E-07    0.96610E-07    0.69268E-02   -0.11617E-09    0.27554E-07    0.52915E-04    0.67832E-04    0.24195E-01    0.18842E-09    0.96610E-07    0.67832E-04    0.95441E-04
    13    0.38962E+02    0.95151E-06    0.14218E-03    0.74303E-02    0.25046E-01    0.95151E-06    0.10449E-12    0.31358E-11    0.10194E-09    0.64586E-09    0.14218E-03    0.31358E-11    0.54617E-09    0.29465E-07    0.99315E-07    0.74303E-02    0.10194E-09    0.29465E-07    0.61185E-04    0.78920E-04    0.25046E-01    0.64586E-09    0.99315E-07    0.78920E-04    0.11132E-03
    14    0.34779E+02    0.79635E-04    0.12650E-03    0.79047E-02    0.25821E-01    0.79635E-04   -0.27194E-04    0.37201E-11    0.60376E-09    0.13626E-08    0.12650E-03    0.37201E-11    0.48227E-09    0.31263E-07    0.10177E-06    0.79047E-02    0.60376E-09    0.31263E-07    0.70025E-04    0.90839E-04    0.25821E-01    0.13626E-08    0.10177E-06    0.90839E-04    0.12843E-03
    15    0.31285E+02    0.11340E-05    0.11322E-03    0.83522E-02    0.26527E-01    0.11340E-05    0.12016E-12    0.38992E-11    0.10384E-08    0.18800E-08    0.11322E-03    0.38992E-11    0.42874E-09    0.32957E-07    0.10401E-06    0.83522E-02    0.10384E-08    0.32957E-07    0.79436E-04    0.10359E-03    0.26527E-01    0.18800E-08    0.10401E-06    0.10359E-03    0.14679E-03
    16    0.28209E+02    0.32409E-03    0.10184E-03    0.87745E-02    0.27170E-01    0.32409E-03   -0.22586E-04    0.33622E-11    0.11111E-08    0.18466E-08    0.10184E-03    0.33622E-11    0.38336E-09    0.34555E-07    0.10604E-06    0.87745E-02    0.11111E-08    0.34555E-07    0.89416E-04    0.11718E-03    0.27170E-01    0.18466E-08    0.10604E-06    0.11718E-03    0.16639E-03
    17    0.25599E+02    0.68799E-06    0.92030E-04    0.91736E-02    0.27756E-01    0.68799E-06    0.61420E-13    0.24457E-11    0.89663E-09    0.14176E-08    0.92030E-04    0.24457E-11    0.34461E-09    0.36064E-07    0.10789E-06    0.91736E-02    0.89663E-09    0.36064E-07    0.99968E-04    0.13160E-03    0.27756E-01    0.14176E-08    0.10789E-06    0.13160E-03    0.18725E-03
    18    0.22858E+02   -0.52563E-03    0.83506E-04    0.95514E-02    0.28290E-01   -0.52563E-03    0.11488E-04    0.15959E-11    0.56629E-09    0.87422E-09    0.83506E-04    0.15959E-11    0.31122E-09    0.37492E-07    0.10957E-06    0.95514E-02    0.56629E-09    0.37492E-07    0.11109E-03    0.14687E-03    0.28290E-01    0.87422E-09    0.10957E-06    0.14687E-03    0.20936E-03
