#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.38087E+03   -0.15549E-04    0.16556E-02   -0.12114E-03    0.10764E-01   -0.15549E-04    0.93423E-10   -0.53047E-10   -0.12465E-08    0.51055E-09    0.16556E-02   -0.53047E-10    0.85811E-08   -0.74015E-09    0.53472E-07   -0.12114E-03   -0.12465E-08   -0.74015E-09    0.27233E-05    0.30004E-05    0.10764E-01    0.51055E-09    0.53472E-07    0.30004E-05    0.41833E-05
     3    0.26351E+03    0.85988E-05    0.10835E-02    0.88380E-03    0.13231E-01    0.85988E-05    0.28333E-10    0.31625E-10   -0.75897E-10    0.69837E-09    0.10835E-02    0.31625E-10    0.51485E-08    0.39238E-08    0.61724E-07    0.88380E-03   -0.75897E-10    0.39238E-08    0.52680E-05    0.60227E-05    0.13231E-01    0.69837E-09    0.61724E-07    0.60227E-05    0.83322E-05
     4    0.19627E+03    0.70972E-05    0.78199E-03    0.18680E-02    0.15451E-01    0.70972E-05    0.74836E-11    0.26038E-10    0.53640E-09    0.89759E-09    0.78199E-03    0.26038E-10    0.35193E-08    0.80459E-08    0.69252E-07    0.18680E-02    0.53640E-09    0.80459E-08    0.85474E-05    0.10022E-04    0.15451E-01    0.89759E-09    0.69252E-07    0.10022E-04    0.13844E-04
     5    0.15323E+03    0.35528E-05    0.59773E-03    0.28204E-02    0.17469E-01    0.35528E-05    0.24712E-11    0.13234E-10    0.48384E-09    0.63096E-09    0.59773E-03    0.13234E-10    0.25895E-08    0.11859E-07    0.76066E-07    0.28204E-02    0.48384E-09    0.11859E-07    0.12535E-04    0.14983E-04    0.17469E-01    0.63096E-09    0.76066E-07    0.14983E-04    0.20714E-04
     6    0.12356E+03    0.32659E-05    0.47450E-03    0.37203E-02    0.19282E-01    0.32659E-05    0.10053E-11    0.11534E-10    0.59625E-10    0.38595E-09    0.47450E-03    0.11534E-10    0.19976E-08    0.15386E-07    0.82126E-07    0.37203E-02    0.59625E-10    0.15386E-07    0.17209E-04    0.20887E-04    0.19282E-01    0.38595E-09    0.82126E-07    0.20887E-04    0.28926E-04
     7    0.10203E+03    0.44829E-05    0.38702E-03    0.45552E-02    0.20907E-01    0.44829E-05    0.65954E-12    0.15557E-10    0.43204E-09    0.13022E-08    0.38702E-03    0.15557E-10    0.15931E-08    0.18623E-07    0.87495E-07    0.45552E-02    0.43204E-09    0.18623E-07    0.22550E-04    0.27718E-04    0.20907E-01    0.13022E-08    0.87495E-07    0.27718E-04    0.38470E-04
     8    0.85803E+02    0.48008E-05    0.32222E-03    0.53279E-02    0.22366E-01    0.48008E-05    0.68007E-12    0.17003E-10    0.13901E-08    0.25331E-08    0.32222E-03    0.17003E-10    0.13024E-08    0.21598E-07    0.92268E-07    0.53279E-02    0.13901E-08    0.21598E-07    0.28537E-04    0.35459E-04    0.22366E-01    0.25331E-08    0.92268E-07    0.35459E-04    0.49334E-04
     9    0.73220E+02    0.37243E-05    0.27268E-03    0.60467E-02    0.23684E-01    0.37243E-05    0.55320E-12    0.13527E-10    0.17055E-08    0.26022E-08    0.27268E-03    0.13527E-10    0.10856E-08    0.24352E-07    0.96546E-07    0.60467E-02    0.17055E-08    0.24352E-07    0.35163E-04    0.44106E-04    0.23684E-01    0.26022E-08    0.96546E-07    0.44106E-04    0.61524E-04
    10    0.63225E+02    0.22051E-05    0.23378E-03    0.67140E-02    0.24871E-01    0.22051E-05    0.28460E-12    0.81271E-11    0.10576E-08    0.15223E-08    0.23378E-03    0.81271E-11    0.91890E-09    0.26901E-07    0.10037E-06    0.67140E-02    0.10576E-08    0.26901E-07    0.42413E-04    0.53649E-04    0.24871E-01    0.15223E-08    0.10037E-06    0.53649E-04    0.75029E-04
    11    0.55147E+02    0.11876E-05    0.20266E-03    0.73383E-02    0.25948E-01    0.11876E-05    0.10652E-12    0.42659E-11    0.18566E-09    0.42520E-09    0.20266E-03    0.42659E-11    0.78793E-09    0.29276E-07    0.10382E-06    0.73383E-02    0.18566E-09    0.29276E-07    0.50288E-04    0.64089E-04    0.25948E-01    0.42520E-09    0.10382E-06    0.64089E-04    0.89860E-04
    12    0.48650E+02   -0.23705E-03    0.17726E-03    0.79205E-02    0.26920E-01   -0.23705E-03    0.10382E-03    0.30774E-11   -0.12738E-09    0.21331E-09    0.17726E-03    0.30774E-11    0.68266E-09    0.31487E-07    0.10691E-06    0.79205E-02   -0.12738E-09    0.31487E-07    0.58778E-04    0.75420E-04    0.26920E-01    0.21331E-09    0.10691E-06    0.75420E-04    0.10601E-03
    13    0.42960E+02    0.10585E-05    0.15629E-03    0.84641E-02    0.27796E-01    0.10585E-05    0.11799E-12    0.34828E-11    0.11754E-09    0.72677E-09    0.15629E-03    0.34828E-11    0.59698E-09    0.33548E-07    0.10968E-06    0.84641E-02    0.11754E-09    0.33548E-07    0.67880E-04    0.87641E-04    0.27796E-01    0.72677E-09    0.10968E-06    0.87641E-04    0.12348E-03
    14    0.38250E+02    0.79759E-04    0.13872E-03    0.89735E-02    0.28589E-01    0.79759E-04   -0.27194E-04    0.41327E-11    0.68184E-09    0.15309E-08    0.13872E-03    0.41327E-11    0.52606E-09    0.35476E-07    0.11217E-06    0.89735E-02    0.68184E-09    0.35476E-07    0.77591E-04    0.10075E-03    0.28589E-01    0.15309E-08    0.11217E-06    0.10075E-03    0.14227E-03
    15    0.34318E+02    0.12601E-05    0.12387E-03    0.94514E-02    0.29306E-01    0.12601E-05    0.13491E-12    0.43321E-11    0.11695E-08    0.21096E-08    0.12387E-03    0.43321E-11    0.46677E-09    0.37283E-07    0.11443E-06    0.94514E-02    0.11695E-08    0.37283E-07    0.87910E-04    0.11475E-03    0.29306E-01    0.21096E-08    0.11443E-06    0.11475E-03    0.16239E-03
    16    0.30875E+02    0.32420E-03    0.11118E-03    0.98999E-02    0.29954E-01    0.32420E-03   -0.22586E-04    0.37313E-11    0.12493E-08    0.20690E-08    0.11118E-03    0.37313E-11    0.41661E-09    0.38977E-07    0.11646E-06    0.98999E-02    0.12493E-08    0.38977E-07    0.98835E-04    0.12964E-03    0.29954E-01    0.20690E-08    0.11646E-06    0.12964E-03    0.18384E-03
    17    0.27955E+02    0.76139E-06    0.10027E-03    0.10322E-01    0.30540E-01    0.76139E-06    0.68581E-13    0.27079E-11    0.10066E-08    0.15854E-08    0.10027E-03    0.27079E-11    0.37386E-09    0.40569E-07    0.11830E-06    0.10322E-01    0.10066E-08    0.40569E-07    0.11036E-03    0.14542E-03    0.30540E-01    0.15854E-08    0.11830E-06    0.14542E-03    0.20662E-03
    18    0.24950E+02   -0.52559E-03    0.90810E-04    0.10719E-01    0.31070E-01   -0.52559E-03    0.11488E-04    0.17618E-11    0.63562E-09    0.97613E-09    0.90810E-04    0.17618E-11    0.33707E-09    0.42068E-07    0.11996E-06    0.10719E-01    0.63562E-09    0.42068E-07    0.12250E-03    0.16209E-03    0.31070E-01    0.97613E-09    0.11996E-06    0.16209E-03    0.23073E-03
    19    0.23132E+02    0.31695E-06    0.82557E-04    0.11092E-01    0.31548E-01    0.31695E-06    0.31125E-13    0.11546E-11    0.34911E-09    0.55176E-09    0.82557E-04    0.11546E-11    0.30522E-09    0.43477E-07    0.12144E-06    0.11092E-01    0.34911E-09    0.43477E-07    0.13524E-03    0.17965E-03    0.31548E-01    0.55176E-09    0.12144E-06    0.17965E-03    0.25617E-03
    20    0.21184E+02   -0.10630E-04    0.75304E-04    0.11443E-01    0.31974E-01   -0.10630E-04    0.10034E-04    0.10263E-11    0.32709E-09    0.56351E-09    0.75304E-04    0.10263E-11    0.27742E-09    0.44801E-07    0.12277E-06    0.11443E-01    0.32709E-09    0.44801E-07    0.14857E-03    0.19809E-03    0.31974E-01    0.56351E-09    0.12277E-06    0.19809E-03    0.28291E-03
    21    0.19384E+02    0.35107E-06    0.68904E-04    0.11773E-01    0.32356E-01    0.35107E-06    0.26364E-13    0.12683E-11    0.60002E-09    0.10323E-08    0.68904E-04    0.12683E-11    0.25303E-09    0.46046E-07    0.12395E-06    0.11773E-01    0.60002E-09    0.46046E-07    0.16249E-03    0.21741E-03    0.32356E-01    0.10323E-08    0.12395E-06    0.21741E-03    0.31097E-03
    22    0.17863E+02   -0.42639E-04    0.63231E-04    0.12085E-01    0.32698E-01   -0.42639E-04   -0.67106E-05    0.17069E-11    0.11295E-08    0.18783E-08    0.63231E-04    0.17069E-11    0.23153E-09    0.47219E-07    0.12501E-06    0.12085E-01    0.11295E-08    0.47219E-07    0.17701E-03    0.23760E-03    0.32698E-01    0.18783E-08    0.12501E-06    0.23760E-03    0.34034E-03
    23    0.16421E+02    0.59991E-06    0.58181E-04    0.12378E-01    0.33002E-01    0.59991E-06    0.71450E-13    0.21575E-11    0.17510E-08    0.28485E-08    0.58181E-04    0.21575E-11    0.21249E-09    0.48324E-07    0.12595E-06    0.12378E-01    0.17510E-08    0.48324E-07    0.19212E-03    0.25867E-03    0.33002E-01    0.28485E-08    0.12595E-06    0.25867E-03    0.37101E-03
    24    0.15143E+02    0.19334E-03    0.53663E-04    0.12653E-01    0.33271E-01    0.19334E-03   -0.45945E-05    0.24579E-11    0.22869E-08    0.36749E-08    0.53663E-04    0.24579E-11    0.19554E-09    0.49362E-07    0.12678E-06    0.12653E-01    0.22869E-08    0.49362E-07    0.20781E-03    0.28060E-03    0.33271E-01    0.36749E-08    0.12678E-06    0.28060E-03    0.40297E-03
    25    0.14038E+02    0.70927E-06    0.49609E-04    0.12911E-01    0.33508E-01    0.70927E-06    0.11384E-12    0.25476E-11    0.26326E-08    0.42011E-08    0.49609E-04    0.25476E-11    0.18039E-09    0.50337E-07    0.12751E-06    0.12911E-01    0.26326E-08    0.50337E-07    0.22408E-03    0.30339E-03    0.33508E-01    0.42011E-08    0.12751E-06    0.30339E-03    0.43621E-03
    26    0.12964E+02    0.17387E-03    0.45958E-04    0.13155E-01    0.33714E-01    0.17387E-03    0.45677E-05    0.24093E-11    0.27194E-08    0.43255E-08    0.45958E-04    0.24093E-11    0.16680E-09    0.51255E-07    0.12814E-06    0.13155E-01    0.27194E-08    0.51255E-07    0.24092E-03    0.32702E-03    0.33714E-01    0.43255E-08    0.12814E-06    0.32702E-03    0.47070E-03
    27    0.12096E+02    0.58764E-06    0.42662E-04    0.13383E-01    0.33894E-01    0.58764E-06    0.94436E-13    0.20962E-11    0.25479E-08    0.40530E-08    0.42662E-04    0.20962E-11    0.15458E-09    0.52117E-07    0.12868E-06    0.13383E-01    0.25479E-08    0.52117E-07    0.25833E-03    0.35150E-03    0.33894E-01    0.40530E-08    0.12868E-06    0.35150E-03    0.50645E-03
    28    0.11232E+02   -0.24426E-03    0.39674E-04    0.13597E-01    0.34047E-01   -0.24426E-03    0.62322E-06    0.16800E-11    0.21496E-08    0.34355E-08    0.39674E-04    0.16800E-11    0.14354E-09    0.52925E-07    0.12914E-06    0.13597E-01    0.21496E-08    0.52925E-07    0.27629E-03    0.37681E-03    0.34047E-01    0.34355E-08    0.12914E-06    0.37681E-03    0.54343E-03
    29    0.10496E+02    0.35298E-06    0.36960E-04    0.13797E-01    0.34176E-01    0.35298E-06    0.50111E-13    0.12334E-11    0.16111E-08    0.26059E-08    0.36960E-04    0.12334E-11    0.13354E-09    0.53681E-07    0.12952E-06    0.13797E-01    0.16111E-08    0.53681E-07    0.29481E-03    0.40292E-03    0.34176E-01    0.26059E-08    0.12952E-06    0.40292E-03    0.58161E-03
    30    0.98703E+01    0.16724E-04    0.34484E-04    0.13984E-01    0.34279E-01    0.16724E-04   -0.21393E-05    0.82346E-12    0.10337E-08    0.17181E-08    0.34484E-04    0.82346E-12    0.12444E-09    0.54384E-07    0.12982E-06    0.13984E-01    0.10337E-08    0.54384E-07    0.31385E-03    0.42983E-03    0.34279E-01    0.17181E-08    0.12982E-06    0.42983E-03    0.62097E-03
    31    0.91625E+01    0.14964E-06    0.32223E-04    0.14157E-01    0.34361E-01    0.14964E-06    0.27873E-13    0.49118E-12    0.52169E-09    0.92771E-09    0.32223E-04    0.49118E-12    0.11616E-09    0.55040E-07    0.13005E-06    0.14157E-01    0.52169E-09    0.55040E-07    0.33342E-03    0.45752E-03    0.34361E-01    0.92771E-09    0.13005E-06    0.45752E-03    0.66149E-03
    32    0.85467E+01    0.16032E-03    0.30155E-04    0.14319E-01    0.34423E-01    0.16032E-03    0.18985E-05    0.26495E-12    0.16524E-09    0.36900E-09    0.30155E-04    0.26495E-12    0.10860E-09    0.55650E-07    0.13022E-06    0.14319E-01    0.16524E-09    0.55650E-07    0.35352E-03    0.48598E-03    0.34423E-01    0.36900E-09    0.13022E-06    0.48598E-03    0.70314E-03
    33    0.80423E+01    0.53048E-07    0.28258E-04    0.14469E-01    0.34468E-01    0.53048E-07    0.22596E-13    0.14761E-12   -0.52243E-11    0.89992E-10    0.28258E-04    0.14761E-12    0.10168E-09    0.56217E-07    0.13033E-06    0.14469E-01   -0.52243E-11    0.56217E-07    0.37411E-03    0.51519E-03    0.34468E-01    0.89992E-10    0.13033E-06    0.51519E-03    0.74591E-03
    34    0.75313E+01   -0.27666E-03    0.26515E-04    0.14608E-01    0.34495E-01   -0.27666E-03    0.58091E-06    0.13196E-12    0.19421E-10    0.10711E-09    0.26515E-04    0.13196E-12    0.95339E-10    0.56742E-07    0.13038E-06    0.14608E-01    0.19421E-10    0.56742E-07    0.39520E-03    0.54513E-03    0.34495E-01    0.10711E-09    0.13038E-06    0.54513E-03    0.78976E-03
    35    0.70941E+01    0.62289E-07    0.24911E-04    0.14737E-01    0.34506E-01    0.62289E-07    0.18265E-13    0.19609E-12    0.22298E-09    0.39684E-09    0.24911E-04    0.19609E-12    0.89510E-10    0.57227E-07    0.13037E-06    0.14737E-01    0.22298E-09    0.57227E-07    0.41677E-03    0.57578E-03    0.34506E-01    0.39684E-09    0.13037E-06    0.57578E-03    0.83466E-03
    36    0.67296E+01    0.46383E-03    0.23431E-04    0.14855E-01    0.34501E-01    0.46383E-03   -0.13653E-06    0.31415E-12    0.57986E-09    0.92067E-09    0.23431E-04    0.31415E-12    0.84144E-10    0.57673E-07    0.13032E-06    0.14855E-01    0.57986E-09    0.57673E-07    0.43880E-03    0.60712E-03    0.34501E-01    0.92067E-09    0.13032E-06    0.60712E-03    0.88059E-03
    37    0.62858E+01    0.13036E-06    0.22063E-04    0.14963E-01    0.34482E-01    0.13036E-06    0.16601E-13    0.45916E-12    0.10521E-08    0.16199E-08    0.22063E-04    0.45916E-12    0.79194E-10    0.58079E-07    0.13022E-06    0.14963E-01    0.10521E-08    0.58079E-07    0.46127E-03    0.63913E-03    0.34482E-01    0.16199E-08    0.13022E-06    0.63913E-03    0.92751E-03
    38    0.59012E+01   -0.55391E-03    0.20798E-04    0.15061E-01    0.34448E-01   -0.55391E-03    0.41830E-05    0.60608E-12    0.15942E-08    0.24248E-08    0.20798E-04    0.60608E-12    0.74620E-10    0.58449E-07    0.13007E-06    0.15061E-01    0.15942E-08    0.58449E-07    0.48418E-03    0.67178E-03    0.34448E-01    0.24248E-08    0.13007E-06    0.67178E-03    0.97537E-03
    39    0.56169E+01   -0.64609E-03    0.19625E-04    0.15149E-01    0.34402E-01   -0.64609E-03    0.55145E-05    0.73877E-12    0.21428E-08    0.32411E-08    0.19625E-04    0.73877E-12    0.70387E-10    0.58781E-07    0.12987E-06    0.15149E-01    0.21428E-08    0.58781E-07    0.50751E-03    0.70504E-03    0.34402E-01    0.32411E-08    0.12987E-06    0.70504E-03    0.10241E-02
    40    0.52825E+01    0.23130E-06    0.18537E-04    0.15228E-01    0.34342E-01    0.23130E-06    0.28503E-13    0.84331E-12    0.26302E-08    0.39687E-08    0.18537E-04    0.84331E-12    0.66462E-10    0.59078E-07    0.12963E-06    0.15228E-01    0.26302E-08    0.59078E-07    0.53123E-03    0.73890E-03    0.34342E-01    0.39687E-08    0.12963E-06    0.73890E-03    0.10738E-02
    41    0.51015E+01    0.12921E-02    0.17524E-04    0.15297E-01    0.34270E-01    0.12921E-02   -0.10177E-04    0.90882E-12    0.29997E-08    0.45235E-08    0.17524E-04    0.90882E-12    0.62815E-10    0.59339E-07    0.12934E-06    0.15297E-01    0.29997E-08    0.59339E-07    0.55532E-03    0.77331E-03    0.34270E-01    0.45235E-08    0.12934E-06    0.77331E-03    0.11242E-02
    42    0.48359E+01    0.24752E-02    0.16582E-04    0.15358E-01    0.34186E-01    0.24752E-02   -0.18179E-04    0.93661E-12    0.32389E-08    0.48870E-08    0.16582E-04    0.93661E-12    0.59424E-10    0.59566E-07    0.12902E-06    0.15358E-01    0.32389E-08    0.59566E-07    0.57978E-03    0.80826E-03    0.34186E-01    0.48870E-08    0.12902E-06    0.80826E-03    0.11755E-02
    43    0.46017E+01    0.26483E-02    0.15704E-04    0.15410E-01    0.34091E-01    0.26483E-02   -0.16190E-04    0.93104E-12    0.33465E-08    0.50568E-08    0.15704E-04    0.93104E-12    0.56268E-10    0.59761E-07    0.12866E-06    0.15410E-01    0.33465E-08    0.59761E-07    0.60459E-03    0.84373E-03    0.34091E-01    0.50568E-08    0.12866E-06    0.84373E-03    0.12275E-02
    44    0.42178E+01    0.18018E-02    0.14885E-04    0.15454E-01    0.33986E-01    0.18018E-02   -0.11250E-04    0.89648E-12    0.33211E-08    0.50306E-08    0.14885E-04    0.89648E-12    0.53328E-10    0.59925E-07    0.12826E-06    0.15454E-01    0.33211E-08    0.59925E-07    0.62973E-03    0.87970E-03    0.33986E-01    0.50306E-08    0.12826E-06    0.87970E-03    0.12803E-02
    45    0.40230E+01    0.22797E-06    0.14121E-04    0.15490E-01    0.33872E-01    0.22797E-06    0.34234E-13    0.83729E-12    0.31615E-08    0.48061E-08    0.14121E-04    0.83729E-12    0.50584E-10    0.60060E-07    0.12783E-06    0.15490E-01    0.31615E-08    0.60060E-07    0.65519E-03    0.91615E-03    0.33872E-01    0.48061E-08    0.12783E-06    0.91615E-03    0.13338E-02
    46    0.39184E+01   -0.44408E-02    0.13405E-04    0.15518E-01    0.33749E-01   -0.44408E-02    0.21386E-04    0.75820E-12    0.28721E-08    0.43895E-08    0.13405E-04    0.75820E-12    0.48017E-10    0.60166E-07    0.12737E-06    0.15518E-01    0.28721E-08    0.60166E-07    0.68096E-03    0.95307E-03    0.33749E-01    0.43895E-08    0.12737E-06    0.95307E-03    0.13879E-02
    47    0.37617E+01   -0.10322E-01    0.12735E-04    0.15540E-01    0.33618E-01   -0.10322E-01    0.45231E-04    0.66549E-12    0.24806E-08    0.38216E-08    0.12735E-04    0.66549E-12    0.45615E-10    0.60246E-07    0.12688E-06    0.15540E-01    0.24806E-08    0.60246E-07    0.70703E-03    0.99042E-03    0.33618E-01    0.38216E-08    0.12688E-06    0.99042E-03    0.14428E-02
    48    0.34929E+01   -0.13066E-01    0.12107E-04    0.15556E-01    0.33480E-01   -0.13066E-01    0.68040E-04    0.56581E-12    0.20205E-08    0.31518E-08    0.12107E-04    0.56581E-12    0.43366E-10    0.60301E-07    0.12636E-06    0.15556E-01    0.20205E-08    0.60301E-07    0.73339E-03    0.10282E-02    0.33480E-01    0.31518E-08    0.12636E-06    0.10282E-02    0.14982E-02
