#    L    TT             EE             TE             PP             TP          
     2    0.32880E+03    0.76153E-10   -0.11979E-04    0.94752E+06    0.32917E+05
     3    0.23051E+03    0.23426E-10    0.76652E-05    0.14517E+07    0.36787E+05
     4    0.17329E+03    0.62916E-11    0.62656E-05    0.18935E+07    0.38080E+05
     5    0.13627E+03    0.21227E-11    0.31341E-05    0.22787E+07    0.38149E+05
     6    0.11053E+03    0.87530E-12    0.28045E-05    0.26143E+07    0.37579E+05
     7    0.91731E+02    0.56745E-12    0.38808E-05    0.29073E+07    0.36672E+05
     8    0.77479E+02    0.59435E-12    0.42599E-05    0.31636E+07    0.35589E+05
     9    0.66373E+02    0.50298E-12    0.34019E-05    0.33887E+07    0.34427E+05
    10    0.57512E+02    0.27010E-12    0.20762E-05    0.35864E+07    0.33233E+05
    11    0.50322E+02    0.10038E-12    0.11314E-05    0.37609E+07    0.32047E+05
    12    0.44535E+02    0.10382E-03   -0.23713E-03    0.39143E+07    0.30879E+05
    13    0.39420E+02    0.97572E-13    0.93960E-06    0.40488E+07    0.29739E+05
    14    0.35182E+02   -0.27194E-04    0.79630E-04    0.41673E+07    0.28638E+05
    15    0.31642E+02    0.12336E-12    0.11550E-05    0.42713E+07    0.27580E+05
    16    0.28528E+02   -0.22586E-04    0.32414E-03    0.43623E+07    0.26564E+05
    17    0.25885E+02    0.67711E-13    0.74075E-06    0.44418E+07    0.25591E+05
    18    0.23116E+02    0.11488E-04   -0.52559E-03    0.45109E+07    0.24661E+05
    19    0.21501E+02    0.31713E-13    0.31361E-06    0.45705E+07    0.23772E+05
    20    0.19728E+02    0.10034E-04   -0.10651E-04    0.46212E+07    0.22921E+05
    21    0.18080E+02    0.23621E-13    0.30660E-06    0.46641E+07    0.22106E+05
    22    0.16692E+02   -0.67106E-05   -0.42703E-04    0.47000E+07    0.21329E+05
    23    0.15365E+02    0.61543E-13    0.52741E-06    0.47296E+07    0.20587E+05
    24    0.14190E+02   -0.45945E-05    0.19326E-03    0.47532E+07    0.19877E+05
    25    0.13174E+02    0.10511E-12    0.65028E-06    0.47714E+07    0.19197E+05
    26    0.12181E+02    0.45677E-05    0.17382E-03    0.47849E+07    0.18548E+05
    27    0.11384E+02    0.93296E-13    0.56357E-06    0.47939E+07    0.17928E+05
