#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.32878E+03   -0.11835E-04    0.14412E-02   -0.20670E-03    0.93030E-02   -0.11835E-04    0.75102E-10   -0.39813E-10   -0.10104E-08    0.43090E-09    0.14412E-02   -0.39813E-10    0.76005E-08   -0.10363E-08    0.47048E-07   -0.20670E-03   -0.10104E-08   -0.10363E-08    0.24466E-05    0.27063E-05    0.93030E-02    0.43090E-09    0.47048E-07    0.27063E-05    0.37612E-05
     3    0.23048E+03    0.75572E-05    0.95433E-03    0.67106E-03    0.11567E-01    0.75572E-05    0.23109E-10    0.27869E-10   -0.56328E-10    0.59863E-09    0.95433E-03    0.27869E-10    0.45990E-08    0.30454E-08    0.54766E-07    0.67106E-03   -0.56328E-10    0.30454E-08    0.47430E-05    0.54334E-05    0.11567E-01    0.59863E-09    0.54766E-07    0.54334E-05    0.75029E-05
     4    0.17326E+03    0.60795E-05    0.69449E-03    0.15383E-02    0.13619E-01    0.60795E-05    0.61985E-11    0.22361E-10    0.46753E-09    0.77809E-09    0.69449E-03    0.22361E-10    0.31625E-08    0.66814E-08    0.61797E-07    0.15383E-02    0.46753E-09    0.66814E-08    0.77083E-05    0.90466E-05    0.13619E-01    0.77809E-09    0.61797E-07    0.90466E-05    0.12483E-04
     5    0.13623E+03    0.31019E-05    0.53424E-03    0.23843E-02    0.15494E-01    0.31019E-05    0.20706E-11    0.11567E-10    0.40409E-09    0.53509E-09    0.53424E-03    0.11567E-10    0.23379E-08    0.10071E-07    0.68174E-07    0.23843E-02    0.40409E-09    0.10071E-07    0.11321E-04    0.13536E-04    0.15494E-01    0.53509E-09    0.68174E-07    0.13536E-04    0.18701E-04
     6    0.11049E+03    0.29768E-05    0.42630E-03    0.31895E-02    0.17190E-01    0.29768E-05    0.85425E-12    0.10505E-10    0.44457E-10    0.35692E-09    0.42630E-03    0.10505E-10    0.18105E-08    0.13229E-07    0.73869E-07    0.31895E-02    0.44457E-10    0.13229E-07    0.15563E-04    0.18886E-04    0.17190E-01    0.35692E-09    0.73869E-07    0.18886E-04    0.26148E-04
     7    0.91684E+02    0.40603E-05    0.34923E-03    0.39421E-02    0.18719E-01    0.40603E-05    0.58350E-12    0.14103E-10    0.40875E-09    0.12036E-08    0.34923E-03    0.14103E-10    0.14487E-08    0.16149E-07    0.78940E-07    0.39421E-02    0.40875E-09    0.16149E-07    0.20418E-04    0.25087E-04    0.18719E-01    0.12036E-08    0.78940E-07    0.25087E-04    0.34818E-04
     8    0.77429E+02    0.42592E-05    0.29187E-03    0.46433E-02    0.20099E-01    0.42592E-05    0.60165E-12    0.15101E-10    0.12486E-08    0.22600E-08    0.29187E-03    0.15101E-10    0.11878E-08    0.18851E-07    0.83471E-07    0.46433E-02    0.12486E-08    0.18851E-07    0.25869E-04    0.32125E-04    0.20099E-01    0.22600E-08    0.83471E-07    0.32125E-04    0.44705E-04
     9    0.66320E+02    0.32312E-05    0.24782E-03    0.52999E-02    0.21353E-01    0.32312E-05    0.47453E-12    0.11748E-10    0.14798E-08    0.22515E-08    0.24782E-03    0.11748E-10    0.99270E-09    0.21369E-07    0.87553E-07    0.52999E-02    0.14798E-08    0.21369E-07    0.31912E-04    0.40001E-04    0.21353E-01    0.22515E-08    0.87553E-07    0.40001E-04    0.55819E-04
    10    0.57456E+02    0.18758E-05    0.21311E-03    0.59131E-02    0.22488E-01    0.18758E-05    0.23592E-12    0.69106E-11    0.87265E-09    0.12635E-08    0.21311E-03    0.69106E-11    0.84229E-09    0.23712E-07    0.91219E-07    0.59131E-02    0.87265E-09    0.23712E-07    0.38537E-04    0.48707E-04    0.22488E-01    0.12635E-08    0.91219E-07    0.48707E-04    0.68153E-04
    11    0.50265E+02    0.10171E-05    0.18524E-03    0.64899E-02    0.23523E-01    0.10171E-05    0.90602E-13    0.36301E-11    0.11143E-09    0.32279E-09    0.18524E-03    0.36301E-11    0.72380E-09    0.25910E-07    0.94546E-07    0.64899E-02    0.11143E-09    0.25910E-07    0.45743E-04    0.58249E-04    0.23523E-01    0.32279E-09    0.94546E-07    0.58249E-04    0.81723E-04
    12    0.44477E+02   -0.23714E-03    0.16242E-03    0.70309E-02    0.24462E-01   -0.23714E-03    0.10382E-03    0.27547E-11   -0.12483E-09    0.19810E-09    0.16242E-03    0.27547E-11    0.62835E-09    0.27966E-07    0.97542E-07    0.70309E-02   -0.12483E-09    0.27966E-07    0.53525E-04    0.68622E-04    0.24462E-01    0.19810E-09    0.97542E-07    0.68622E-04    0.96524E-04
    13    0.39360E+02    0.98312E-06    0.14352E-03    0.75387E-02    0.25313E-01    0.98312E-06    0.11312E-12    0.32295E-11    0.13311E-09    0.70656E-09    0.14352E-03    0.32295E-11    0.55050E-09    0.29893E-07    0.10024E-06    0.75387E-02    0.13311E-09    0.29893E-07    0.61882E-04    0.79829E-04    0.25313E-01    0.70656E-09    0.10024E-06    0.79829E-04    0.11256E-03
    14    0.35122E+02    0.79662E-04    0.12765E-03    0.80169E-02    0.26088E-01    0.79662E-04   -0.27194E-04    0.38054E-11    0.64904E-09    0.14318E-08    0.12765E-03    0.38054E-11    0.48594E-09    0.31705E-07    0.10270E-06    0.80169E-02    0.64904E-09    0.31705E-07    0.70812E-04    0.91871E-04    0.26088E-01    0.14318E-08    0.10270E-06    0.91871E-04    0.12984E-03
    15    0.31581E+02    0.11375E-05    0.11421E-03    0.84677E-02    0.26793E-01    0.11375E-05    0.11979E-12    0.39103E-11    0.10742E-08    0.19246E-08    0.11421E-03    0.39103E-11    0.43186E-09    0.33411E-07    0.10492E-06    0.84677E-02    0.10742E-08    0.33411E-07    0.80317E-04    0.10475E-03    0.26793E-01    0.19246E-08    0.10492E-06    0.10475E-03    0.14838E-03
    16    0.28466E+02    0.32407E-03    0.10269E-03    0.88929E-02    0.27434E-01    0.32407E-03   -0.22586E-04    0.32969E-11    0.11249E-08    0.18541E-08    0.10269E-03    0.32969E-11    0.38604E-09    0.35020E-07    0.10695E-06    0.88929E-02    0.11249E-08    0.35020E-07    0.90395E-04    0.11847E-03    0.27434E-01    0.18541E-08    0.10695E-06    0.11847E-03    0.16817E-03
    17    0.25823E+02    0.65737E-06    0.92770E-04    0.92945E-02    0.28018E-01    0.65737E-06    0.57611E-13    0.23379E-11    0.89103E-09    0.13980E-08    0.92770E-04    0.23379E-11    0.34691E-09    0.36538E-07    0.10878E-06    0.92945E-02    0.89103E-09    0.36538E-07    0.10105E-03    0.13304E-03    0.28018E-01    0.13980E-08    0.10878E-06    0.13304E-03    0.18921E-03
    18    0.23054E+02   -0.52566E-03    0.84150E-04    0.96744E-02    0.28549E-01   -0.52566E-03    0.11488E-04    0.14992E-11    0.55698E-09    0.85506E-09    0.84150E-04    0.14992E-11    0.31321E-09    0.37974E-07    0.11046E-06    0.96744E-02    0.55698E-09    0.37974E-07    0.11228E-03    0.14845E-03    0.28549E-01    0.85506E-09    0.11046E-06    0.14845E-03    0.21153E-03
