#    L    TT             EE             TE             PP             TP          
     2    0.32877E+03    0.74356E-10   -0.11737E-04    0.94493E+06    0.32901E+05
     3    0.23046E+03    0.22884E-10    0.74753E-05    0.14470E+07    0.36760E+05
     4    0.17323E+03    0.61320E-11    0.59557E-05    0.18865E+07    0.38043E+05
     5    0.13620E+03    0.20348E-11    0.30939E-05    0.22695E+07    0.38101E+05
     6    0.11046E+03    0.84245E-12    0.31007E-05    0.26028E+07    0.37521E+05
     7    0.91654E+02    0.59577E-12    0.41710E-05    0.28934E+07    0.36604E+05
     8    0.77397E+02    0.60456E-12    0.42391E-05    0.31474E+07    0.35513E+05
     9    0.66286E+02    0.45458E-12    0.31034E-05    0.33701E+07    0.34342E+05
    10    0.57421E+02    0.21636E-12    0.17417E-05    0.35654E+07    0.33139E+05
    11    0.50229E+02    0.88936E-13    0.94980E-06    0.37376E+07    0.31946E+05
    12    0.44439E+02    0.10382E-03   -0.23714E-03    0.38885E+07    0.30770E+05
    13    0.39322E+02    0.12397E-12    0.10142E-05    0.40207E+07    0.29623E+05
    14    0.35083E+02   -0.27194E-04    0.79678E-04    0.41368E+07    0.28516E+05
    15    0.31542E+02    0.11627E-12    0.11183E-05    0.42385E+07    0.27452E+05
    16    0.28427E+02   -0.22586E-04    0.32403E-03    0.43271E+07    0.26430E+05
    17    0.25783E+02    0.51233E-13    0.60144E-06    0.44042E+07    0.25452E+05
    18    0.23015E+02    0.11488E-04   -0.52570E-03    0.44710E+07    0.24517E+05
    19    0.21399E+02    0.22486E-13    0.25754E-06    0.45283E+07    0.23623E+05
    20    0.19626E+02    0.10034E-04   -0.10643E-04    0.45768E+07    0.22766E+05
    21    0.17979E+02    0.26841E-13    0.36335E-06    0.46173E+07    0.21948E+05
    22    0.16591E+02   -0.67106E-05   -0.42626E-04    0.46510E+07    0.21167E+05
    23    0.15265E+02    0.72610E-13    0.59530E-06    0.46783E+07    0.20420E+05
    24    0.14091E+02   -0.45945E-05    0.19330E-03    0.46997E+07    0.19707E+05
    25    0.13076E+02    0.99743E-13    0.64781E-06    0.47158E+07    0.19024E+05
    26    0.12083E+02    0.45677E-05    0.17378E-03    0.47270E+07    0.18372E+05
    27    0.11288E+02    0.72036E-13    0.49309E-06    0.47339E+07    0.17749E+05
    28    0.10488E+02    0.62322E-06   -0.24435E-03    0.47368E+07    0.17152E+05
    29    0.98101E+01    0.35168E-13    0.26876E-06    0.47359E+07    0.16581E+05
    30    0.92360E+01   -0.21393E-05    0.16657E-04    0.47312E+07    0.16033E+05
    31    0.85753E+01    0.21020E-13    0.10329E-06    0.47233E+07    0.15507E+05
    32    0.80020E+01    0.18985E-05    0.16029E-03    0.47127E+07    0.15003E+05
