#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.32871E+03   -0.11349E-04    0.14396E-02   -0.20652E-03    0.92943E-02   -0.11349E-04    0.71069E-10   -0.38043E-10   -0.10053E-08    0.40046E-09    0.14396E-02   -0.38043E-10    0.75534E-08   -0.10319E-08    0.46782E-07   -0.20652E-03   -0.10053E-08   -0.10319E-08    0.24439E-05    0.27032E-05    0.92943E-02    0.40046E-09    0.46782E-07    0.27032E-05    0.37560E-05
     3    0.23038E+03    0.70991E-05    0.95278E-03    0.67138E-03    0.11550E-01    0.70991E-05    0.21888E-10    0.26097E-10   -0.22482E-10    0.63085E-09    0.95278E-03    0.26097E-10    0.45649E-08    0.30497E-08    0.54385E-07    0.67138E-03   -0.22482E-10    0.30497E-08    0.47375E-05    0.54271E-05    0.11550E-01    0.63085E-09    0.54385E-07    0.54271E-05    0.74912E-05
     4    0.17314E+03    0.55173E-05    0.69298E-03    0.15387E-02    0.13592E-01    0.55173E-05    0.58392E-11    0.20399E-10    0.48958E-09    0.73670E-09    0.69298E-03    0.20399E-10    0.31361E-08    0.66856E-08    0.61310E-07    0.15387E-02    0.48958E-09    0.66856E-08    0.76991E-05    0.90360E-05    0.13592E-01    0.73670E-09    0.61310E-07    0.90360E-05    0.12461E-04
     5    0.13609E+03    0.31585E-05    0.53277E-03    0.23847E-02    0.15455E-01    0.31585E-05    0.18930E-11    0.11671E-10    0.26529E-09    0.39667E-09    0.53277E-03    0.11671E-10    0.23164E-08    0.10075E-07    0.67585E-07    0.23847E-02    0.26529E-09    0.10075E-07    0.11307E-04    0.13519E-04    0.15455E-01    0.39667E-09    0.67585E-07    0.13519E-04    0.18666E-04
     6    0.11034E+03    0.35805E-05    0.42486E-03    0.31901E-02    0.17137E-01    0.35805E-05    0.81406E-12    0.12488E-10    0.22262E-10    0.49045E-09    0.42486E-03    0.12488E-10    0.17924E-08    0.13233E-07    0.73179E-07    0.31901E-02    0.22262E-10    0.13233E-07    0.15543E-04    0.18863E-04    0.17137E-01    0.49045E-09    0.73179E-07    0.18863E-04    0.26094E-04
     7    0.91519E+02    0.44707E-05    0.34783E-03    0.39428E-02    0.18650E-01    0.44707E-05    0.64337E-12    0.15570E-10    0.62060E-09    0.15313E-08    0.34783E-03    0.15570E-10    0.14330E-08    0.16153E-07    0.78150E-07    0.39428E-02    0.62060E-09    0.16153E-07    0.20391E-04    0.25056E-04    0.18650E-01    0.15313E-08    0.78150E-07    0.25056E-04    0.34741E-04
     8    0.77253E+02    0.40147E-05    0.29049E-03    0.46440E-02    0.20013E-01    0.40147E-05    0.59727E-12    0.14339E-10    0.13388E-08    0.22592E-08    0.29049E-03    0.14339E-10    0.11740E-08    0.18854E-07    0.82583E-07    0.46440E-02    0.13388E-08    0.18854E-07    0.25834E-04    0.32084E-04    0.20013E-01    0.22592E-08    0.82583E-07    0.32084E-04    0.44599E-04
     9    0.66135E+02    0.25568E-05    0.24647E-03    0.53004E-02    0.21249E-01    0.25568E-05    0.38153E-12    0.93571E-11    0.11999E-08    0.17543E-08    0.24647E-03    0.93571E-11    0.98033E-09    0.21372E-07    0.86568E-07    0.53004E-02    0.11999E-08    0.21372E-07    0.31867E-04    0.39949E-04    0.21249E-01    0.17543E-08    0.86568E-07    0.39949E-04    0.55678E-04
    10    0.57264E+02    0.12761E-05    0.21179E-03    0.59137E-02    0.22365E-01    0.12761E-05    0.17438E-12    0.46320E-11    0.41142E-09    0.64789E-09    0.21179E-03    0.46320E-11    0.83110E-09    0.23715E-07    0.90139E-07    0.59137E-02    0.41142E-09    0.23715E-07    0.38480E-04    0.48642E-04    0.22365E-01    0.64789E-09    0.90139E-07    0.48642E-04    0.67970E-04
    11    0.50066E+02    0.77741E-06    0.18395E-03    0.64905E-02    0.23380E-01    0.77741E-06    0.11543E-12    0.25708E-11   -0.18479E-09    0.36380E-10    0.18395E-03    0.25708E-11    0.71359E-09    0.25912E-07    0.93371E-07    0.64905E-02   -0.18479E-09    0.25912E-07    0.45674E-04    0.58168E-04    0.23380E-01    0.36380E-10    0.93371E-07    0.58168E-04    0.81490E-04
