#    L    TT             EE             TE             PP             TP          
     2    0.15935E+03    0.26380E-10   -0.26768E-05    0.53229E+06    0.16736E+05
     3    0.11912E+03    0.87192E-11    0.40547E-05    0.84808E+06    0.19795E+05
     4    0.93712E+02    0.25383E-11    0.30673E-05    0.11370E+07    0.21328E+05
     5    0.76330E+02    0.92268E-12    0.16259E-05    0.13986E+07    0.22041E+05
     6    0.63723E+02    0.40613E-12    0.15981E-05    0.16344E+07    0.22273E+05
     7    0.54184E+02    0.29389E-12    0.22056E-05    0.18469E+07    0.22211E+05
     8    0.46741E+02    0.31794E-12    0.23659E-05    0.20384E+07    0.21964E+05
     9    0.40792E+02    0.26086E-12    0.18516E-05    0.22114E+07    0.21603E+05
    10    0.35938E+02    0.13397E-12    0.11185E-05    0.23676E+07    0.21166E+05
    11    0.31920E+02    0.50549E-13    0.62961E-06    0.25093E+07    0.20689E+05
    12    0.28694E+02    0.10382E-03   -0.23745E-03    0.26374E+07    0.20182E+05
    13    0.25668E+02    0.61837E-13    0.60069E-06    0.27532E+07    0.19659E+05
    14    0.23162E+02   -0.27194E-04    0.79228E-04    0.28581E+07    0.19132E+05
    15    0.21069E+02    0.72852E-13    0.71943E-06    0.29532E+07    0.18607E+05
    16    0.19178E+02   -0.22586E-04    0.32374E-03    0.30392E+07    0.18087E+05
    17    0.17575E+02    0.38139E-13    0.44460E-06    0.31170E+07    0.17575E+05
    18    0.15698E+02    0.11488E-04   -0.52579E-03    0.31873E+07    0.17076E+05
    19    0.14852E+02    0.17722E-13    0.19175E-06    0.32507E+07    0.16587E+05
    20    0.13748E+02    0.10034E-04   -0.10741E-04    0.33074E+07    0.16111E+05
    21    0.12684E+02    0.15240E-13    0.21209E-06    0.33582E+07    0.15647E+05
    22    0.11808E+02   -0.67106E-05   -0.42827E-04    0.34036E+07    0.15198E+05
    23    0.10932E+02    0.42221E-13    0.36333E-06    0.34441E+07    0.14763E+05
    24    0.10155E+02   -0.45945E-05    0.19307E-03    0.34798E+07    0.14341E+05
    25    0.94941E+01    0.68507E-13    0.43593E-06    0.35113E+07    0.13933E+05
    26    0.88159E+01    0.45677E-05    0.17361E-03    0.35388E+07    0.13538E+05
    27    0.83016E+01    0.57852E-13    0.36824E-06    0.35626E+07    0.13156E+05
    28    0.77534E+01    0.62322E-06   -0.24443E-03    0.35831E+07    0.12788E+05
    29    0.73021E+01    0.31169E-13    0.22700E-06    0.36003E+07    0.12431E+05
    30    0.69322E+01   -0.21393E-05    0.16641E-04    0.36142E+07    0.12085E+05
    31    0.64557E+01    0.17395E-13    0.10071E-06    0.36254E+07    0.11751E+05
    32    0.60492E+01    0.18985E-05    0.16029E-03    0.36340E+07    0.11428E+05
    33    0.57347E+01    0.14128E-13    0.39211E-07    0.36403E+07    0.11116E+05
    34    0.53962E+01    0.58091E-06   -0.27667E-03    0.36443E+07    0.10814E+05
    35    0.51160E+01    0.11603E-13    0.45075E-07    0.36463E+07    0.10523E+05
    36    0.48948E+01   -0.13653E-06    0.46380E-03    0.36463E+07    0.10241E+05
    37    0.45820E+01    0.10812E-13    0.89963E-07    0.36446E+07    0.99687E+04
    38    0.43173E+01    0.41830E-05   -0.55396E-03    0.36412E+07    0.97054E+04
    39    0.41429E+01    0.55145E-05   -0.64616E-03    0.36363E+07    0.94508E+04
    40    0.39094E+01    0.18998E-13    0.15838E-06    0.36298E+07    0.92045E+04
    41    0.38212E+01   -0.10177E-04    0.12920E-02    0.36220E+07    0.89661E+04
    42    0.36411E+01   -0.18179E-04    0.24751E-02    0.36129E+07    0.87354E+04
    43    0.34857E+01   -0.16190E-04    0.26483E-02    0.36026E+07    0.85120E+04
    44    0.31744E+01   -0.11250E-04    0.18018E-02    0.35912E+07    0.82958E+04
    45    0.30468E+01    0.23323E-13    0.15876E-06    0.35787E+07    0.80865E+04
    46    0.30043E+01    0.21386E-04   -0.44409E-02    0.35654E+07    0.78838E+04
    47    0.29053E+01    0.45231E-04   -0.10322E-01    0.35511E+07    0.76876E+04
    48    0.26899E+01    0.68040E-04   -0.13066E-01    0.35361E+07    0.74976E+04
    49    0.24471E+01    0.64032E-04   -0.86923E-02    0.35203E+07    0.73135E+04
    50    0.24143E+01    0.73132E-14    0.73137E-07    0.35039E+07    0.71352E+04
    51    0.23782E+01   -0.15865E-03    0.87113E-02    0.34868E+07    0.69625E+04
    52    0.25511E+01   -0.32573E-03    0.12776E-01    0.34692E+07    0.67951E+04
    53    0.25462E+01   -0.34961E-03    0.92855E-02    0.34511E+07    0.66329E+04
    54    0.22736E+01   -0.23463E-03    0.33016E-02    0.34325E+07    0.64756E+04
    55    0.19407E+01    0.30940E-14    0.20016E-07    0.34135E+07    0.63232E+04
    56    0.17596E+01    0.21343E-03   -0.17291E-02    0.33940E+07    0.61754E+04
    57    0.16644E+01    0.29820E-03   -0.18358E-02    0.33743E+07    0.60319E+04
    58    0.16682E+01    0.26287E-03   -0.12124E-02    0.33541E+07    0.58928E+04
    59    0.16356E+01    0.14575E-03   -0.77349E-03    0.33337E+07    0.57578E+04
    60    0.15797E+01    0.20393E-14    0.18483E-07    0.33130E+07    0.56267E+04
    61    0.18070E+01   -0.80085E-04    0.18113E-02    0.32920E+07    0.54995E+04
    62    0.17171E+01   -0.10301E-03    0.37228E-02    0.32708E+07    0.53759E+04
    63    0.15226E+01   -0.10297E-03    0.47585E-02    0.32494E+07    0.52560E+04
    64    0.15108E+01   -0.62183E-04    0.37191E-02    0.32278E+07    0.51395E+04
    65    0.13001E+01    0.44067E-14    0.34973E-07    0.32061E+07    0.50263E+04
    66    0.11771E+01    0.21984E-04   -0.46037E-02    0.31844E+07    0.49164E+04
    67    0.98051E+00    0.10896E-04   -0.77600E-02    0.31625E+07    0.48097E+04
    68    0.99439E+00    0.13330E-04   -0.83024E-02    0.31406E+07    0.47061E+04
    69    0.98268E+00   -0.58331E-05   -0.49903E-02    0.31186E+07    0.46053E+04
    70    0.10808E+01    0.67506E-14    0.39204E-07    0.30967E+07    0.45075E+04
    71    0.11329E+01    0.25785E-04    0.38996E-02    0.30747E+07    0.44123E+04
    72    0.11559E+01    0.53062E-04    0.55054E-02    0.30527E+07    0.43199E+04
    73    0.10983E+01    0.56304E-04    0.45079E-02    0.30307E+07    0.42299E+04
    74    0.98288E+00    0.32269E-04    0.20827E-02    0.30087E+07    0.41425E+04
    75    0.90672E+00    0.38441E-14    0.30219E-07    0.29868E+07    0.40574E+04
    76    0.81098E+00   -0.30693E-04   -0.95235E-03    0.29648E+07    0.39746E+04
    77    0.75579E+00   -0.57223E-04   -0.10189E-02    0.29429E+07    0.38940E+04
    78    0.79393E+00   -0.41664E-04   -0.21692E-02    0.29211E+07    0.38156E+04
    79    0.75531E+00   -0.27803E-04   -0.11730E-02    0.28993E+07    0.37392E+04
    80    0.76698E+00    0.16877E-14    0.19389E-07    0.28777E+07    0.36649E+04
    81    0.73770E+00    0.27379E-05    0.31530E-03    0.28561E+07    0.35926E+04
    82    0.74303E+00    0.12525E-04    0.24966E-03    0.28346E+07    0.35222E+04
    83    0.71454E+00    0.14258E-04   -0.27075E-03    0.28133E+07    0.34536E+04
